rank	username	minecraft:used/minecraft:diamond_axe
1	TheShyPig	179577
2	HellsSponge	92072
3	Legendosh	90335
4	Di_infiri	85993
5	AdmiralSmoke	81882
6	Blackberry1310	79612
7	burbankbuilder28	76479
8	m_be9	61720
9	El_Jalapeno	61494
10	gcaisawesome	59190
11	rarrq	58290
12	Werbe	51453
13	MyNameIsJobo	50880
14	Frozil20	50325
15	kekhon	50249
16	thewindmillman	47721
17	Snowflowe	47412
18	TechnoNinja64	45658
19	Euclidoris	44666
20	luseis	44476
21	Onennon	44269
22	eitanzaki	43160
23	lordpipe	39880
24	noam464	37617
25	Mahoose	37088
26	beeperbeeper5	35031
27	ApophisNova	34424
27	MyNamaSheff	34424
29	SpacesickPrism	32022
30	FreakGenius	31546
31	YungMaki	31126
32	500am	28200
33	Merv__	28153
34	thescout7	28047
35	PazinGaming	27446
36	xolstoi	27151
37	KarlKaek	26940
38	Steelynan	25986
39	Hyp3rion_	25833
40	12Magner05	25451
41	Skippeh	23868
42	_Dean_123	23332
43	BlancoFlaco	22717
44	lcvezra	22359
45	Bumpy419	21806
46	Dakar_	21503
47	Elastiq	21355
48	oscminus	21134
48	claivin	21134
50	Hermanni__	20600
51	MightyWertu	19847
52	xxPipperDipperxx	19536
53	xzvu	19050
54	Soplight	19027
55	pintsizedrogue	18965
56	Groundler	18751
57	Fizznut909	18659
58	Akoot_	18554
59	TheSecondLord	18540
60	ROY4LE	18282
61	Ezekson	18037
62	Eraxa	17943
63	Arceus1975	17124
64	Rumpletaezer	17083
65	Barlycorn	17078
66	fkGrim	16996
67	Druid95	16971
68	Fullut	16498
69	KingMatthew506	16404
70	_Nuf	16390
71	Inbefour	16300
72	Comma__	16181
73	Prodiginus	16123
74	Zythose	15920
75	_Karmaa	15828
76	diggydog67	15593
77	ImpavidArcher	15500
78	eiC_	15093
79	Historical_Sand	14987
80	Deathkob	14889
81	Malorn_Aetherius	14777
82	EngagedGrub41	14293
83	Enderxz3	14218
84	wwwwinnebagoooo	13955
85	k_ce	13911
86	SuperPooch06	13660
87	Tyrannosplart	13569
88	Meatlaugh	13359
89	SaintJosie	13044
90	youhjjhhhjj	12951
91	Groovy_MoonBird	12526
92	Skylord_Luke	12524
93	H0UNDFRMH3LL	12413
94	ConnorDanky_	12383
95	IamCL4SSY	11964
96	PortlyPete69	11791
97	Cowison	11720
98	sp00ky_ghost977	11568
99	Hisiste	11543
100	LeauVox4921	11499
101	CoffeeNoir	11328
102	Xalithia	11224
103	Racengan	11042
104	Quotary	11037
105	Nicserso	11026
106	EcksD	10992
107	Xclax101	10866
108	TheThomas69	10806
109	ProfessorBee	10773
110	Iamthejo	10547
111	WET_WET_WET	10465
112	DarlaMeow	10348
113	tsitrawhy	10328
114	Hoid_the_Roamer	9978
115	anbbang	9904
116	Jonafrog99	9855
117	Blaiku	9845
118	Kakolbus	9815
119	EveryonesUncle	9647
120	Tommhh	9614
121	Blu3beast	9580
122	00000000-0000-0000-0009-01ff0c3e5e4f	9572
123	_Huge_Male_	9474
124	yulgur1	9440
125	UCP_TheKingK	9403
126	RobotMinion101	9353
127	TooManyDuck	9006
128	mwrty	8701
129	6king6colt6	8658
130	PhantomsGhost_	8606
131	Franco093	8581
132	The_slideV3	8331
133	cedric72	8250
134	DemTechAlpha	8211
135	Hiryu27	8209
136	MineMaster0012	8175
137	EMC_	8125
138	XboxPanda	8061
139	NameGenerat0r	7903
140	Sral7	7891
141	MoistMicrowave	7887
142	SaucyDark	7875
143	Burge_r	7866
144	slkiey	7791
145	RoskobiOne	7736
146	LeeMcGee30	7734
147	Jackattack53	7716
148	CalebDHawk	7658
149	Jovaphobic	7573
150	diamondgolem35	7524
151	TheDankPlatypus	7514
152	PlasticOtari	7430
153	F_Uhre	7366
154	Z3braYTIL	7351
155	Zedducius	7128
156	AuroraValkyrie	7113
157	Zoeyfortnite	7080
158	titanlax	7033
159	Kowcio_	7005
160	jacxhadow	6945
161	wezzzi	6921
162	fluddd	6837
163	Windo_licker	6778
164	PlzNoBM	6769
165	jnp_gaming	6752
166	Jimi7hits	6695
167	Nycteus_	6693
168	legal_tax_evader	6663
169	ItsMrRamen	6662
170	himak1	6602
171	XxCookiequeenxX	6573
172	MattieHD	6553
173	PegLegPete93	6470
174	Touched_Bread	6462
175	ZoomieZoomie	6439
176	SDMNAEK	6414
177	SvenskaHugo	6393
178	groofles	6308
179	joethahobo	6200
180	Stiar	6180
181	__tomato	6067
182	Natty	6001
183	Zaridey	5956
184	prizm_	5949
185	AuroraSkies	5888
186	SlayerCrypto	5885
187	Ryker	5813
188	Cocoamallows	5808
189	jewbacaman	5799
190	T045RTY	5780
191	Awyrlas	5769
192	TheEnderMan548	5727
193	GingerNeutron	5726
194	Maenara	5644
195	__Fanda__	5571
195	_Bguette_	5571
197	Darkgon	5551
198	Dogcorn69420	5532
199	SammiWolfGirl	5514
200	OfficerAnvil	5443
201	AlphaWolfPlaysMC	5419
202	Mewar	5394
203	Sleepy_Time_	5365
204	censorsheep	5309
205	MAns_44	5265
206	TheSeismicDuck	5189
207	Warlord324	5160
208	Manaateee	5155
209	EfficientC52	5148
210	Bandito_Roamer	5145
211	Shogunite	5139
211	skrongus	5139
213	ThePoliteG	5012
214	WyngGoy	5005
215	soundad	5004
216	eviltunix	4993
217	RadarHz	4957
218	hcb238	4916
219	calamariclam_I	4889
220	NatalieTW	4829
221	yheece	4817
222	Cryptacity	4798
223	Sheldor097	4793
224	Kubelz	4765
225	Incinere	4736
226	Kateesaur	4684
227	Smiguli_	4656
228	Truckoss	4549
229	Nach0Bear	4528
230	selectrix	4501
231	IWorkAtIkea	4458
232	Jakobo1337	4456
233	livingdaydreams	4429
234	H72l9w	4423
235	stuy9	4411
236	Luigipunch989	4399
237	vandmanden	4287
238	PigDab	4284
239	Notta	4232
240	Factoroni	4216
241	fr0stss	4212
242	smogfrog	4186
243	ExtraDumb	4185
244	stellarjay	4142
245	AnnieBathory	4092
246	DarkS0L	4086
247	MustaLoordi	4043
248	Kamflame10	4042
249	mariominejedi	4017
250	SyntheticSurgeon	4008
251	starbits140	3998
252	Rasmanden	3946
253	AngalexikCZ	3940
254	audiocracked	3933
255	Soap_Bender	3871
256	_Cloverbelle_	3844
257	JESS_THE_RERE	3821
258	Spacewardharpy7	3820
259	Blazebit	3807
260	laron58	3780
261	BreadBacon	3760
262	Sleek_Storm_721	3695
263	thebaddruid	3690
264	Typadopoulos	3677
264	fffMike	3677
266	Winston_Ingram	3640
267	Kyrum2169	3626
268	Jackster03	3610
269	Spenduh	3583
270	h2p_emrld	3535
271	crying_wolf_13	3504
272	Killercatty78	3500
273	ougstur	3464
274	Syropatathe	3424
275	Kouridragon	3420
276	JayToe	3398
277	07shiny	3389
278	The_Cruncy	3386
279	cichy096	3367
280	DC_XII	3356
281	Ssor69	3333
281	seramalen	3333
283	Kubeusz2010	3316
284	dudcreeper	3300
284	Krowuss	3300
286	MovingFish7	3287
287	shadowthemonkey	3257
288	Simon_Lowell	3246
289	set67	3232
290	StinkyDiplomat	3214
291	djancak	3205
292	Quincannon	3195
293	SquadMonster	3184
294	pappaberg	3181
295	oreee	3167
296	WYFYoyo	3143
297	stavgod	3108
298	Dreamdbr14	3103
299	CrateOfBoxes	3101
300	BumbleBeever	3084
