rank	username	minecraft:used/minecraft:blue_glazed_terracotta
1	thescout7	1465
2	Di_infiri	1204
3	QuiCreans	504
4	Merv__	145
5	Bandito_Roamer	97
5	hermmm_	97
7	KarlKaek	91
8	Lez_	68
9	Steelynan	62
10	Barlycorn	56
11	skitzxo	48
12	Blu3beast	47
13	titanlax	43
14	lordpipe	37
15	YungMaki	35
16	kekhon	34
17	MakeHistory157	30
18	PaperCanvas	26
19	GLLogan2	23
19	thewindmillman	23
21	excelsionprime	20
22	Elastiq	19
23	Prismyst	18
23	noam464	18
25	_Mythic____	17
26	rarrq	16
27	Inbefour	15
28	Werbe	13
29	crashomon	12
29	Shogunite	12
29	Soplight	12
32	Hyp3rion_	11
33	2Stout	10
34	Kim_Jong_eel	9
34	PlasticOtari	9
36	Inchef	8
36	Bumpy419	8
36	KlausVonStiglitz	8
36	EcksD	8
40	Yamdalorian	7
41	Kubelz	6
42	StinkyDiplomat	5
42	pixelviolin	5
44	_Virify_	4
44	eitanzaki	4
44	skroobiez	4
44	Akoot_	4
44	ConnorDanky_	4
49	mobunni	3
50	joethahobo	2
50	Jackattack53	2
50	Krowuss	2
50	Hiryu27	2
50	ItsDeltaMC	2
50	Kowcio_	2
50	KamFurnace	2
57	ImpavidArcher	1
57	r123moore	1
57	oscminus	1
57	Blaiku	1
57	Spacewardharpy7	1
57	KingMatthew506	1
57	Legendosh	1
57	Jimb0nat0r	1
