rank	username	minecraft:used/minecraft:pig_spawn_egg
1	Akoot_	14
2	MattieHD	13
3	Kateesaur	10
4	Onennon	9
4	Groundler	9
4	Legendosh	9
7	Blu3beast	8
8	beeperbeeper5	6
9	El_Jalapeno	5
10	kekhon	2
10	Di_infiri	2
