rank	username	minecraft:used/minecraft:golden_chestplate
1	oscminus	8
2	Hahaa_0	7
3	pixelviolin	5
4	Mattesco	4
4	NATE_the_HALO	4
6	robertsnose	3
6	U_Mos_	3
6	Kowcio_	3
9	Lorcout	2
9	CLG_Kata	2
9	Jackattack53	2
9	PigDab	2
9	Akoot_	2
9	luseis	2
9	PixelatedBoss	2
9	Ezekson	2
17	Riick_Astley	1
17	k_ce	1
17	Mahoose	1
17	beeperbeeper5	1
17	LeifEricsonLegit	1
17	ArdaAslan02	1
17	IKeepDying	1
17	lorpus	1
17	Inchef	1
17	SuperPooch06	1
17	TheInfernoPup	1
17	kimm_e621	1
17	Qorbyn	1
17	ItsCorruptMC	1
17	ykgelatina	1
17	cuddlyMonster	1
17	StarCookiees_	1
17	FadedSpade82	1
17	TheKingK_	1
17	Segotep999	1
17	TheBananaKat	1
17	TheWickedBird	1
