rank	username	minecraft:used/minecraft:pink_stained_glass
1	lordpipe	2355
2	beeperbeeper5	1707
3	SpacesickPrism	1616
4	Lez_	1281
5	Werbe	1146
6	EveryonesUncle	778
7	AdmiralSmoke	661
8	chipklip	590
9	BlankityMcBlank	386
10	GooseWithin	366
11	walll	308
12	Tyrannosplart	265
13	ooga47	185
14	Xalithia	157
15	AltnumberF4	153
16	EcksD	130
17	MakeHistory157	104
18	Biites	95
19	AlexxO_o	90
20	CoffeeNoir	83
21	TheEnderMan548	72
22	gcaisawesome	64
22	Bumpy419	64
24	corvidpartyfor6	57
24	Hyp3rion_	57
26	CattSoup	48
27	titanlax	46
28	thewindmillman	42
29	Groundler	36
30	Nycteus_	35
31	NameGenerat0r	33
32	lorpus	31
33	Inbefour	29
34	Billious	25
34	PortlyPete69	25
36	luseis	23
37	Manaateee	22
38	LexMakesHistory	20
38	mountaingirl311	20
40	joethahobo	19
41	pintsizedrogue	18
41	AuroraValkyrie	18
41	AssFullaCum	18
41	jnp_gaming	18
45	Jimb0nat0r	17
46	mwrty	15
46	Steelynan	15
48	CollinMH06	14
49	Mahoose	13
49	Spacewardharpy7	13
51	SmashingPump	12
52	Wooptey	11
53	MoistMicrowave	10
53	SkateboardR6	10
53	obzii	10
56	TheSecondLord	9
57	ColeSnyder	8
57	MinttyFressh	8
57	500am	8
57	MeowMeowMcmuffin	8
61	4774	7
62	YungMaki	6
62	Quotary	6
64	SaucyDark	5
64	xxPipperDipperxx	5
66	_i_ERROR_i_	4
67	Kowcio_	3
67	lcvezra	3
69	6king6colt6	2
69	eitanzaki	2
69	MyNameIsJobo	2
69	SuperPooch06	2
69	wezzzi	2
69	fluddd	2
75	Groovy_MoonBird	1
75	Incinere	1
75	Shadoko_	1
75	_Nuf	1
75	_Dean_123	1
75	noam464	1
75	lillips	1
75	Soap_Bender	1
75	HellsSponge	1
