rank	username	minecraft:used/minecraft:polished_blackstone_pressure_plate
1	pintsizedrogue	1440
2	500am	1093
3	noam464	320
4	k_ce	285
5	beeperbeeper5	96
6	thewindmillman	75
7	TheWickedBird	65
8	Manaateee	59
9	joethahobo	45
10	TheSecondLord	33
11	EcksD	26
11	PlasticOtari	26
13	milltesco	25
14	Cowison	24
15	Yamdalorian	21
16	Lez_	20
17	Mahoose	19
18	Mr_Byzantine	17
19	ZeaBaron	16
19	Soplight	16
21	Jimb0nat0r	15
22	FreakGenius	12
23	hm947	11
23	MAns_44	11
25	Fullut	10
25	Hyp3rion_	10
27	ConnorDanky_	8
28	Smashic	7
29	XboxPanda	5
30	Werbe	4
31	RoskobiOne	2
31	Jackattack53	2
31	Mattesco	2
31	Moofyman	2
31	FishyBoy3811	2
31	Fuad_R	2
31	ItsDeltaMC	2
31	pixelviolin	2
39	ShedJr_	1
39	eclipseboi	1
39	fade_emerge78823	1
39	oscminus	1
39	Elastiq	1
39	EveryonesUncle	1
39	ItsCorruptMC	1
39	Spacewardharpy7	1
