rank	username	minecraft:used/minecraft:red_nether_brick_slab
1	himak1	3261
2	Legendosh	2795
3	Vorlice	1395
4	Freak_Genius	1235
5	lordpipe	274
6	ooga47	208
7	12Magner05	197
7	kekhon	197
9	thewindmillman	177
10	Eraxa	143
11	ApophisNova	93
11	MyNamaSheff	93
13	rarrq	92
14	Sral7	73
15	TheShyPig	39
15	extralargenose	39
17	m_be9	36
18	YungMaki	34
19	noam464	24
20	Blu3beast	16
21	beeperbeeper5	14
22	master9067	13
23	livingdaydreams	6
23	ProfessorBee	6
25	SteveCraftBlocks	5
26	hm947	4
26	Snowflowe	4
26	WyngGoy	4
29	Fullut	2
30	ROY4LE	1
30	Di_infiri	1
30	Shogunite	1
