rank	username	minecraft:used/minecraft:stripped_oak_wood
1	rarrq	820
2	PlasticOtari	505
3	Merv__	445
4	Zythose	308
5	noam464	290
6	Werbe	246
7	Reneedium	152
8	Rebytre	103
9	Kowcio_	88
10	CalebDHawk	84
11	Mahoose	67
12	Manaateee	63
13	MattieHD	58
14	oscminus	53
15	Blackberry1310	50
15	TheShyPig	50
17	pintsizedrogue	37
18	Jimb0nat0r	29
19	Steelynan	23
20	GildedRemnant	19
21	Inbefour	18
21	EveryonesUncle	18
23	cheerytomato	17
24	Mr_Byzantine	15
24	Enderxz3	15
26	PazinGaming	14
27	Dakar_	13
27	ConnorDanky_	13
29	EMC_	12
30	Spenduh	11
30	SpacesickPrism	11
32	luseis	10
33	skroobiez	9
34	OreTheBear	8
35	lorywithay	7
35	Felenov	7
35	Lord_Jord	7
35	El_Jalapeno	7
35	MightyWertu	7
40	xxPipperDipperxx	6
40	M_Patata	6
40	Hyp3rion_	6
40	MasterNueve	6
40	PeaceAndQuiet	6
45	pixelviolin	5
46	ImpavidArcher	4
46	joethahobo	4
46	beeperbeeper5	4
46	500am	4
46	NameGenerat0r	4
46	Ezekson	4
52	T045RTY	3
52	Fullut	3
52	Spacewardharpy7	3
52	Luigipunch989	3
52	FormulaNewt3627	3
57	Huwulling	2
57	SteveCraftBlocks	2
57	shadowthemonkey	2
57	Akoot_	2
57	zOnlyKroks	2
57	Kubeusz2010	2
63	Frxnkz	1
63	TheSecondLord	1
63	kekhon	1
63	EnigmaTheYeen	1
63	CaptainBadKid	1
63	Jonafrog99	1
63	Skylord_Luke	1
63	FishyBoy3811	1
63	handsome_strong	1
63	Quaintster	1
63	FreakGenius	1
63	iSammael	1
63	Pumpkin_P_Patch	1
