rank	username	minecraft:used/minecraft:blue_stained_glass_pane
1	UMosDiesIrae	22114
2	Hyp3rion_	5068
3	TheShyPig	2049
4	beeperbeeper5	1880
5	teslawolf38	1528
6	noam464	1478
7	ShedJr_	1123
8	Franco093	592
9	Krowuss	520
10	MustardDrinker	512
11	UltraZombie	444
12	Di_infiri	321
13	__tomato	214
14	VentiHilton	160
15	ImpavidArcher	151
15	Zythose	151
17	the__Reaper4999	147
18	The11thDoctor	144
19	adeptius	136
20	El_Jalapeno	132
21	r123moore	116
22	EMC_	111
23	rarrq	110
24	titanlax	108
25	epiksk8erduck	93
26	TheSecondLord	87
27	Shogunite	84
28	xxPipperDipperxx	82
29	Lez_	77
30	nocturne78	71
31	Legendosh	69
32	MadmanRaven	67
33	Onennon	66
34	MattieHD	63
35	Jackster03	60
35	ReflexCode	60
37	The_slideV3	59
38	eitanzaki	57
39	Blaiku	53
40	Steelynan	52
41	MightyWertu	50
42	sp00ky_ghost977	40
43	redikul	39
44	AuroraValkyrie	30
44	NomadicRobin_	30
46	AdmiralSmoke	29
47	Jackattack53	28
47	luseis	28
49	BasedEphex	27
50	walll	25
51	Nicserso	24
52	EveryonesUncle	23
53	heckface	21
53	MrExplorer	21
55	Mahoose	20
55	LordSpeed37	20
55	Pickel_Lord	20
58	Merv__	18
58	lcvezra	18
60	Hpdinosaur	17
60	jacxhadow	17
60	ApophisNova	17
60	MyNamaSheff	17
60	tompup	17
65	MoistMicrowave	16
65	Wowful	16
65	420BreadLizard	16
65	SvenskaHugo	16
69	burbankbuilder28	15
69	PlasticOtari	15
71	FreakGenius	14
72	Notta	13
72	UncreativeArtist	13
72	THEKINGLyric10	13
75	CLG_Kata	11
75	Mattesco	11
75	cichy096	11
78	T045RTY	10
78	m_be9	10
80	Rumpletaezer	9
80	lordpipe	9
82	pintsizedrogue	8
82	RatatJuice	8
82	Blackberry1310	8
82	Toriankel	8
86	Meatlaugh	7
86	SSytex_X	7
86	HesDemonPants	7
89	Jimb0nat0r	6
90	bloodbiter	5
90	2Stout	5
90	hanaryheatwave	5
90	xolstoi	5
94	KarlKaek	4
94	kekhon	4
94	RobotMinion101	4
94	Njensen7	4
94	Kubeusz2010	4
94	CattSoup	4
100	SmashingPump	3
100	fallingemma	3
100	EcksD	3
103	_Huge_Male_	2
103	ZaneABrain	2
103	joethahobo	2
103	Comma__	2
103	eclipseboi	2
103	ROY4LE	2
103	oscminus	2
103	groofles	2
103	lillips	2
103	NameGenerat0r	2
103	claivin	2
103	Druid95	2
103	Spenduh	2
103	xzvu	2
103	Enderxz3	2
103	skrongus	2
119	lorywithay	1
119	set67	1
119	SuperPooch06	1
119	Kokeech	1
119	Akoot_	1
119	ese_wn_po	1
119	Spacewardharpy7	1
119	Kowcio_	1
119	Soplight	1
