rank	username	minecraft:used/minecraft:purple_candle
1	Legendosh	117
2	luseis	54
3	TheSecondLord	41
4	hermmm_	26
5	skroobiez	25
6	thewindmillman	15
7	Dakar_	14
8	robonya_	12
9	Manaateee	6
9	PlasticOtari	6
11	crashomon	4
11	Kowcio_	4
11	00000000-0000-0000-0009-01fe065167f0	4
14	Huwulling	3
14	Mahoose	3
14	philandr	3
14	FILIP1e	3
18	PaperCanvas	2
18	XxCookiequeenxX	2
18	Pumpkin_P_Patch	2
18	Soplight	2
22	Merv__	1
22	pixelviolin	1
