rank	username	minecraft:used/minecraft:crimson_fence_gate
1	craaaash	530
2	FreakGenius	243
3	thewindmillman	212
4	Legendosh	194
5	beeperbeeper5	81
6	AstreaTSS	67
7	joethahobo	47
8	mihimihimihi	26
9	RebelAndroid	23
10	TheSecondLord	20
11	gcaisawesome	19
12	SvenskaHugo	17
12	Kubeusz2010	17
14	luseis	13
15	noam464	12
16	livingdaydreams	9
17	teslawolf38	8
18	BobDeBouwer1337	6
19	Manaateee	5
20	Spacewardharpy7	4
20	PlasticOtari	4
22	12Magner05	2
22	Marbz_	2
22	Kowcio_	2
25	Mr_Byzantine	1
25	eitanzaki	1
25	T045RTY	1
25	Mahoose	1
25	shadowthemonkey	1
25	Yamdalorian	1
