rank	username	minecraft:used/minecraft:light_blue_banner
1	Akoot_	142
2	_Dean_123	126
3	beeperbeeper5	88
4	rarrq	76
5	kekhon	63
5	PlasticOtari	63
7	Mahoose	53
8	Ezekson	52
9	12Magner05	45
9	500am	45
11	ShedJr_	36
12	Drlzyy	21
13	pintsizedrogue	18
14	Huwulling	16
14	LexMakesHistory	16
16	joethahobo	15
16	Arceus1975	15
16	pixelviolin	15
16	jnp_gaming	15
20	Zythose	14
21	EveryonesUncle	13
22	diamondgolem35	12
22	Jiminie	12
22	EcksDofficial	12
25	TheShyPig	11
25	Eraxa	11
27	ROY4LE	10
27	Steelynan	10
29	Lez_	9
29	Werbe	9
31	noam464	8
31	claivin	8
33	Blackberry1310	7
33	YungMaki	7
33	stahouo	7
36	CoffeeNoir	6
36	m_be9	6
36	CarltheCuck	6
36	Snowflowe	6
36	CrateOfBoxes	6
36	oxfordschool	6
36	Smoke____	6
43	MattieHD	5
43	M_Patata	5
43	Di_infiri	5
43	MasterNueve	5
47	Historical_Sand	4
47	Inchef	4
47	Soplight	4
50	1dss	3
50	eitanzaki	3
50	Euclidoris	3
50	Shogunite	3
50	Groundler	3
50	SammiWolfGirl	3
50	EcksD	3
50	h2p_emrld	3
58	Merv__	2
58	Frozil20	2
58	ImpavidArcher	2
58	Gundam_Steven	2
58	Natty	2
58	Fullut	2
58	_Boipl_	2
58	fred870d	2
58	NomadicRobin_	2
58	Blu3beast	2
58	SSytex_X	2
58	Enderslayerxz3	2
58	Legendosh	2
71	Healthing	1
71	I_Am_Mushkin	1
71	Incinere	1
71	titanlax	1
71	jushykins	1
71	Masssonnn	1
71	xXxSebastianLxXx	1
71	IforgotCS_Source	1
71	xxPipperDipperxx	1
71	r123moore	1
71	Jackattack53	1
71	Hoid_the_Roamer	1
71	ApophisNova	1
71	Mattesco	1
71	HellsSponge	1
71	NameGenerat0r	1
71	Blaiku	1
71	Spacewardharpy7	1
71	jcool7	1
71	MilleGrug	1
71	MyNamaSheff	1
71	JayToe	1
