rank	username	minecraft:used/minecraft:bread
1	Legendosh	3201
2	Di_infiri	2181
3	Blackberry1310	1677
4	StinkyDiplomat	1565
5	Groovy_MoonBird	1517
6	ROY4LE	1469
7	Ezekson	1424
8	NatalieTW	1284
9	himak1	984
10	Spacewardharpy7	942
11	6king6colt6	900
12	DanTheBuilderino	886
13	Akoot_	844
14	MyNameIsDakar	828
15	Werbe	716
16	rarrq	705
17	anbbang	698
18	F_Uhre	696
19	shineh10	681
20	Quaintster	632
21	ConnorDanky_	603
22	teslawolf38	589
23	RadarHz	581
24	RyuNeko932000	541
25	Dreamdbr14	532
26	Esme_1	510
26	burbankbuilder28	510
28	Kim_Jong_eel	504
29	Steelynan	492
30	livingdaydreams	483
31	Kowcio_	477
32	Mahoose	463
32	claivin	463
34	07shiny	454
35	Tyrannosplart	453
36	Smoke____	446
37	SuperPooch06	445
38	Njensen7	431
39	RatatJuice	422
40	ProbsNotNova	396
41	Mr_Byzantine	388
42	Froste131	365
43	Snowflowe	362
44	H72l9w	359
45	I_Am_Mushkin	341
45	Kubelz	341
47	hcb238	335
48	Wolverine4302	333
49	Enderxz3	331
50	bigstankyy	330
51	Luigipunch989	324
52	thescout7	323
53	picardred	309
53	kekhon	309
55	Blu3beast	307
56	DarlaMeow	285
56	_TCARREIRA_	285
58	IdeallyGrey	283
59	Joestra	281
60	SvenskaSara	279
61	Jimi7hits	274
62	Arceus1975	272
62	Dusk_95	272
64	gcaisawesome	263
65	bloodbiter	254
65	Deerfoot	254
67	ImDisconnected_	253
68	Kamflame10	250
69	ooga47	247
70	Warlord324	245
71	TechnoNinja64	243
72	fluddd	239
73	Airem_Core	238
74	SaintJosie	237
75	FGamerJ	230
75	diggydog67	230
77	UrbanPlanningEx	224
78	GlitchyPlate810	222
79	Darkgon	221
80	Huwulling	219
81	jewbacaman	216
81	Fizznut909	216
83	corvidpartyfor6	214
83	AngalexikCZ	214
85	RealGroot	213
86	whoaluv	212
87	DemTechAlpha	210
88	OG_Songsee	209
89	lcvezra	208
90	yulgur1	205
91	Bloo2406	201
92	eitanzaki	198
92	Kouridragon	198
92	HesDemonPants	198
95	Lez_	197
96	MrMeisterProper	193
97	AdvertisingMerc	191
98	ProfessorBee	186
99	featherflyy	183
100	SammiWolfGirl	182
101	heckface	181
101	Razzgriz	181
103	bladeefan2009	180
103	00000000-0000-0000-0009-01ff0c3e5e4f	180
105	gilesmcriles	173
106	Malorn_Aetherius	167
107	wezzzi	166
108	YungMaki	165
109	zToasty69z	164
109	Jordan_R	164
111	SvenskaHugo	160
112	xorompole	156
113	Onennon	148
114	smogfrog	145
115	handsome_strong	144
116	Ailmast	143
116	TheThomas69	143
118	tortillatitan	142
118	KingMatthew506	142
120	pintsizedrogue	140
120	ExtraDumb	140
120	Historical_Sand	140
123	Scathra	139
124	El_Jalapeno	137
124	jcool7	137
126	NinjaKnifeKill	135
126	dopplexd	135
126	emrekn	135
129	Methalox1	134
130	NATE_the_HALO	133
131	ZeroAbyssTTV	132
132	TylerDupree	131
132	starbits140	131
134	wordboy107	130
135	Iamthejo	129
136	NotMeowMix	128
137	xxPipperDipperxx	127
137	Matek_	127
139	Cortexia	126
139	ChronoSounds	126
141	Marbz_	125
141	Majonezzon	125
141	alderban107	125
141	EcksD	125
145	RoskobiOne	124
145	Cowison	124
147	Zythose	121
148	Killercatty78	120
149	CharlieButt	119
150	PhantomsGhost_	117
151	Prodiginus	116
151	Enigma0251	116
151	Deguns123	116
154	Rebytre	113
155	mwrty	112
156	abramgray	110
156	Swexti	110
156	Ssor69	110
159	seramalen	109
159	spellmre	109
161	LordSpeed37	107
162	killmeiamtraitor	106
162	_Boipl_	106
162	Vetral1	106
165	jacxhadow	105
166	NLKBuilder	104
166	Inbefour	104
166	NYJ	104
169	ImpavidArcher	102
170	Reamdin	101
170	Dyosy	101
170	lizardfightclub	101
173	Mowelan	100
173	Frxnkz	100
173	NameGenerat0r	100
176	beeperbeeper5	99
176	MonitorLizards	99
178	MunkaKris	98
178	Deathkob	98
178	SkateboardR6	98
181	XboxPanda	97
181	Fast_Turtle	97
183	Merv__	96
184	shdesolt	95
184	WET_WET_WET	95
184	Toiton	95
184	Vellu21	95
188	thewindmillman	94
188	Zoeyfortnite	94
190	soundad	93
190	Nyxiom_	93
190	BlankityMcBlank	93
193	PortlyPete69	92
193	Calbo_	92
195	AnnieBathory	91
195	JESS_THE_RERE	91
197	awesomeweasel	90
198	TheBiggestFeller	89
198	301851	89
198	Fakiuss	89
198	Professor_x8	89
198	stellarjay	89
198	JungeSchnauzer	89
204	Juh1s	88
204	Sral7	88
206	Truckoss	86
206	KlausVonStiglitz	86
206	_Karmaa	86
209	Bumpy419	84
209	Invisie	84
209	FlashMigma	84
209	Western_1	84
213	Fullut	82
213	Russiancat1	82
215	JayToe	80
216	TooManyDuck	79
216	_Razaria	79
216	Kryktal	79
219	Rumpletaezer	78
219	CarryLine	78
219	AlphaWolfPlaysMC	78
222	bruh072	76
222	Shin69	76
222	obzii	76
222	xolstoi	76
226	T045RTY	75
226	avalan64	75
226	nonarso	75
229	Inchef	74
229	_Bguette_	74
231	SeverianTheLame	73
231	fenkuu	73
233	BilboBaggins23	72
233	RobotMinion101	72
233	TheALV	72
236	123louis456	71
236	TAKrules	71
236	TheSecondLord	71
236	Zaridey	71
240	Eraza	70
240	Bazongoman	70
242	Ze_BaronKrigler	69
243	Xclax101	68
243	MilleGrug	68
245	Euclidoris	67
245	eviltunix	67
245	SlayerCrypto	67
245	DeeDeeThonk	67
245	__tomato	67
250	ReyTheLegend	66
250	QueenOfDirt	66
252	Donutt	65
252	aec9	65
252	wwwwinnebagoooo	65
255	oreee	64
255	_HoneySlime_	64
255	Stiar	64
255	Lord_Jord	64
255	The_slideV3	64
255	BungalowBeet	64
255	The_SlideV5	64
262	fanofbands101	63
262	Jindong	63
262	gabriels543	63
262	Solar_Power	63
262	aa2x_	63
262	groofles	63
262	censorsheep	63
262	monolu	63
270	toj__	62
270	Meatlaugh	62
272	dudcreeper	61
272	EMC_	61
272	Gemstuff	61
275	q_wq	60
275	RoofTyler	60
277	purpolepickle	59
278	Ecplosive	58
278	sq0id	58
278	Matorz	58
281	Ze1ig	57
281	Winklepicker279	57
281	NomadicRobin_	57
281	carpet4_69	57
281	BumbleBeever	57
281	Ossem	57
287	Jovaphobic	56
287	The11thDoctor	56
287	MovingFish7	56
287	WinterYoke	56
291	yaboo88	55
292	FirsTimeGamingTV	54
292	FunkyMoneyx	54
292	Bucscw24	54
292	mihimihimihi	54
296	DepressedCubic	53
296	Irko	53
296	masskedman	53
296	weabis	53
296	markaus77	53
