rank	username	minecraft:used/minecraft:netherite_boots
1	Hyp3rion_	125
2	Yamdalorian	58
3	Pumpkin_P_Patch	49
4	Kowcio_	48
5	oscminus	46
6	Mattesco	41
6	FiguraDei	41
8	Jackattack53	40
9	skitzxo	32
10	pretty_pink_reno	28
10	pixelviolin	28
12	luseis	24
13	TheSecondLord	23
14	Segotep999	21
15	crashomon	16
16	MattieHD	15
16	hanaryheatwave	15
18	CLG_Kata	14
19	Smashic	13
20	12Magner05	11
20	RebytreGT	11
22	k_ce	10
23	Secret_Canary	9
24	beeperbeeper5	8
25	Huwulling	7
25	Racengan	7
25	00000000-0000-0000-0009-01ff0c3e5e4f	7
28	rarrq	6
28	lorpus	6
28	Jimb0nat0r	6
31	ECstardust	5
31	Crowman1	5
31	Touched_Bread	5
31	Krowuss	5
31	That_tech_head	5
31	StarCookiees_	5
31	SvenskaHugo	5
31	TheKingK_	5
31	Spenduh	5
31	_i_ERROR_i_	5
41	PazinGaming	4
41	Niklas20114552	4
41	Mahoose	4
41	Lez_	4
41	Myszoaz	4
41	Crizma_	4
41	Inchef	4
41	Juansinmiedo18	4
41	noam464	4
41	Spacewardharpy7	4
41	lordpipe	4
41	YungMaki	4
41	Soplight	4
41	TheWickedBird	4
55	pintsizedrogue	3
55	hm947	3
55	Alteriity	3
55	Blackberry1310	3
55	OreTheBear	3
55	HolyVenom	3
55	Luminad3	3
55	NameGenerat0r	3
55	Buuck_	3
55	_Mythic____	3
55	EcksD	3
55	Enderxz3	3
67	H0UNDFRMH3LL	2
67	_Huge_Male_	2
67	Frozil20	2
67	myaccountwasgone	2
67	diamondgolem35	2
67	Lazy_geniusig	2
67	CoffeeNoir	2
67	ShedJr_	2
67	MSK__	2
67	skroobiez	2
67	Fullut	2
67	TijsVer	2
67	Z3braYTIL	2
67	imcombxt	2
67	fragrantmonke444	2
67	goldyx	2
67	Manaateee	2
67	AstreaTSS	2
67	Blaiku	2
67	sp00ky_ghost977	2
67	TheEnderMan548	2
67	NATE_the_HALO	2
67	TheBananaKat	2
67	Aryamanee	2
67	00000000-0000-0000-0009-01fe065167f0	2
92	MuffinManzz	1
92	Deu_Stew	1
92	dimondking777	1
92	BPTY4618	1
92	SmashingPump	1
92	Merv__	1
92	teslawolf38	1
92	q_wq	1
92	EMC_	1
92	Flores991	1
92	nattybears	1
92	T045RTY	1
92	YairZaki	1
92	joethahobo	1
92	MrKrabOnCoke	1
92	Da_Boss_Rani	1
92	royal_2	1
92	Tersea_	1
92	I_Moose	1
92	kekhon	1
92	harutoisdaddyy	1
92	Kkanot	1
92	Nach0Bear	1
92	xxPipperDipperxx	1
92	TheDankPlatypus	1
92	nstuartwilliams1	1
92	Kakolbus	1
92	bl1ss0	1
92	Winklepicker279	1
92	Marbz_	1
92	SuperPooch06	1
92	corpsecity	1
92	thewindmillman	1
92	U_Mos_	1
92	BronkerBrum	1
92	ApophisNova	1
92	TheWildMateo	1
92	Mr_Sun15	1
92	AlexxO_o	1
92	clownsalad	1
92	Tou3bann	1
92	Samificator	1
92	Dan_Scha	1
92	Akoot_	1
92	NomadicRobin_	1
92	shadowmanu8	1
92	Fuad_R	1
92	blackeemperor	1
92	SingedBread	1
92	guitar_hero_101	1
92	THEKINGLyric10	1
92	Jahbouris	1
92	ItsDeltaMC	1
92	LeEricc	1
92	BungalowBeet	1
92	fffMike	1
92	88Hazza88	1
92	Eczbek	1
92	Hex_proto	1
92	ConnorDanky_	1
92	DairyNickel756	1
92	MyNamaSheff	1
92	2blox_	1
92	PlasticOtari	1
92	calamariclam_I	1
92	FishisTTV	1
92	00000000-0000-0000-0009-01f1577a2913	1
