rank	username	minecraft:used/minecraft:cyan_glazed_terracotta
1	Arceus1975	343
2	Lutres_	264
3	Yamdalorian	232
4	noam464	186
5	QuiCreans	148
6	LeauVox4921	147
7	lordpipe	93
8	oscminus	92
9	eitanzaki	88
10	Inbefour	68
11	MakeHistory157	60
12	luseis	55
13	hermmm_	43
14	rarrq	40
15	ImpavidArcher	27
16	Merv__	20
16	Mahoose	20
18	pixelviolin	11
19	Hyp3rion_	9
19	Soplight	9
21	StinkyDiplomat	8
22	crashomon	7
23	Jackattack53	5
23	Werbe	5
25	Fullut	4
25	Krowuss	4
25	Pumpkin_P_Patch	4
28	MattieHD	3
28	Buuck_	3
30	ItsDeltaMC	2
31	joethahobo	1
31	hanaryheatwave	1
31	DemTechAlpha	1
31	Spacewardharpy7	1
31	Razzgriz	1
