rank	username	minecraft:used/minecraft:dripstone_block
1	PlasticOtari	1072
2	Fuad_R	768
3	EcksD	680
4	Steelynan	532
5	beeperbeeper5	498
6	Smoke____	272
7	thewindmillman	264
8	Enderslayerxz3	214
9	pintsizedrogue	107
10	SquadMonster	102
11	non089	96
12	EMC_	94
13	calamariclam_I	89
14	00000000-0000-0000-0009-01ff0c3e5e4f	51
15	Segotep999	50
16	RatatJuice	39
17	YungMaki	38
18	pixelviolin	35
19	AlexxO_o	34
19	EveryonesUncle	34
21	Sheldor097	30
22	Kakolbus	27
23	SammiWolfGirl	26
24	500am	25
25	Lez_	22
26	diamondgolem35	16
26	athereall	16
28	TheDankPlatypus	15
29	Enigma0251	14
30	Kubelz	12
30	ApophisNova	12
30	SingedBread	12
30	TheEnderman548	12
30	MyNamaSheff	12
35	TheSecondLord	11
36	Silvo614	10
37	Alteriity	9
37	groofles	9
39	Hyp3rion_	8
40	MAns_44	7
41	Jackattack53	6
41	Solar_Power	6
41	SvenskaAlvar	6
41	Luminad3	6
41	Lord_Zacler	6
41	EtherealEspresso	6
47	Merv__	5
47	DinoDoctor_	5
47	Soplight	5
50	JitteryJared2	4
51	Drlzyy	3
51	Inchef	3
51	XboxPanda	3
51	The_Fulgurator	3
51	Jiminie	3
51	Spacewardharpy7	3
57	Prismyst	2
57	joethahobo	2
57	ItsDeltaMC	2
57	KG1999	2
57	Kowcio_	2
57	UCP_TheKingK	2
63	_stets	1
63	shineh10	1
63	ImpavidArcher	1
63	RebelAndroid	1
63	ZaneABrain	1
63	Chickenchaser2	1
63	Skylord_Luke	1
63	Mattesco	1
63	Moofyman	1
63	NomadicRobin_	1
63	Deathkob	1
63	Freak_Genius	1
63	IdeallyGrey	1
63	RadarHz	1
63	00000000-0000-0000-0009-01f898304150	1
