rank	username	minecraft:used/minecraft:red_mushroom
1	thewindmillman	15717
2	ooga47	922
3	Jimb0nat0r	822
4	GravitySaint	632
5	craaaash	260
6	Werbe	238
7	QuiCreans	232
8	Lez_	224
9	cuddlyMonster	202
10	Yamdalorian	173
11	calamariclam_I	158
12	mushroomgirl101	137
13	k_ce	119
14	lordpipe	99
15	xxPipperDipperxx	85
16	Kowcio_	82
17	luseis	80
18	pintsizedrogue	77
19	EcksD	68
20	kekhon	67
21	Kakolbus	64
22	FreakGenius	62
23	Jovaphobic	56
24	beeperbeeper5	51
24	Soplight	51
26	_Dean_123	50
26	Di_infiri	50
28	Huwulling	49
29	HellsSponge	47
30	12Magner05	46
31	hanaryheatwave	42
31	corpsecity	42
33	Cowison	41
33	FiguraDei	41
35	Shiirazu	39
36	IamCL4SSY	38
37	EveryonesUncle	36
38	Mahoose	33
39	Hahaa_0	31
39	Enderxz3	31
41	Hyp3rion_	30
42	500am	28
42	Inchef	28
44	Arceus1975	27
45	bloodbiter	26
46	Kubelz	25
46	SammiWolfGirl	25
48	NameGenerat0r	24
49	Fullut	23
49	XxCookiequeenxX	23
49	Xclax101	23
52	RatatJuice	22
52	txxskx	22
54	eitanzaki	19
54	Wolverine4302	19
54	LuvLuvLove	19
57	EtherealEspresso	18
58	djancak	17
58	EngagedGrub41	17
60	cyuar	16
60	burbankbuilder28	16
60	sp00ky_ghost977	16
60	Pumpkin_P_Patch	16
64	q_wq	15
64	_witch_craft_	15
64	Manaateee	15
64	Dakar_	15
64	smogfrog	15
69	nattybears	14
69	Jackattack53	14
69	Krowuss	14
69	Luigipunch989	14
69	Sral7	14
74	MSK__	13
75	shineh10	12
75	MattieHD	12
75	Mattesco	12
75	miramyu	12
75	SpacesickPrism	12
75	CattSoup	12
75	jnp_gaming	12
82	hollowww	11
82	Merv__	11
82	ECstardust	11
82	PeteO1995	11
82	Elastiq	11
82	Nicserso	11
88	Alteriity	10
88	KomputerDude	10
88	Malorn_Aetherius	10
88	Reneedium	10
88	Ezekson	10
93	chipklip	9
93	ratglock	9
93	Awyrlas	9
93	Blazebit	9
93	SingedBread	9
93	Eraxa	9
93	_i_ERROR_i_	9
93	Steelynan	9
93	tompup	9
93	HesDemonPants	9
103	FL4SHYB01	8
103	bl1ss0	8
103	PigDab	8
103	Tiktola01	8
103	LordAurum	8
103	PlasticOtari	8
109	2Stout	7
109	ItzYaBoiPicard	7
109	RobotMinion101	7
109	Onennon	7
109	Lord_Jord	7
109	Decaying_Lotus	7
109	annoyingenderman	7
109	Legendosh	7
109	Powowowow	7
118	Zippyzam	6
118	rarrq	6
118	gilesmcriles	6
118	Mr_Sun15	6
118	El_Jalapeno	6
118	MonkeyTheGoat	6
124	Bandito_Roamer	5
124	soundad	5
124	ShedJr_	5
124	Ssor69	5
124	heckface	5
124	updan	5
124	noam464	5
124	Wowful	5
124	stellarjay	5
124	Kubeusz2010	5
124	TechnoNinja64	5
135	Lorcout	4
135	Mr_Byzantine	4
135	PhantomsGhost_	4
135	_darky1_	4
135	oscminus	4
135	NomadicRobin_	4
135	doublemaki	4
135	TheKingK_	4
135	robonya_	4
135	es0th	4
145	T045RTY	3
145	FirsTimeGamingTV	3
145	SteveCraftBlocks	3
145	excelsionprime	3
145	crying_wolf_13	3
145	ketaminmann	3
145	Xalithia	3
145	Boipl	3
145	ApophisNova	3
145	TheShyPig	3
145	Maenara	3
145	Akoot_	3
145	fw3xy	3
145	ReflexCode	3
145	BlankityMcBlank	3
145	LeEricc	3
145	RadarHz	3
145	MyNamaSheff	3
145	WYFYoyo	3
164	gren_ben	2
164	ColeSnyder	2
164	CoffeeNoir	2
164	Reamdin	2
164	Jackster03	2
164	joethahobo	2
164	MrKrabOnCoke	2
164	royal_2	2
164	Euclidoris	2
164	Saucepeh	2
164	TheSecondLord	2
164	mwrty	2
164	ROY4LE	2
164	Windo_licker	2
164	AJplaysMC_	2
164	wx4z	2
164	Hoid_the_Roamer	2
164	ScootOfBoot	2
164	cedric72	2
164	natajimi	2
164	claivin	2
164	StinkyDiplomat	2
164	geekbird	2
164	LordSpeed37	2
164	CLUBN2	2
164	__tomato	2
164	CalebDHawk	2
164	_3Stump_	2
164	Eczbek	2
164	Rainaldus	2
194	NatalieTW	1
194	SpartanNamor	1
194	Lotheburgh	1
194	robertsnose	1
194	EMC_	1
194	BlancoFlaco	1
194	SyntheticSurgeon	1
194	Julmish	1
194	skroobiez	1
194	Historical_Sand	1
194	Vizzoid	1
194	Mercadies	1
194	Blackberry1310	1
194	Bi1bo	1
194	yuuxxii	1
194	intropass	1
194	gcaisawesome	1
194	mikiagent025	1
194	CharlieButt	1
194	Zaridey	1
194	MethylRadical	1
194	legal_tax_evader	1
194	MyNameIsJobo	1
194	Malware_Mara	1
194	SvenskaSara	1
194	OreTheBear	1
194	seramalen	1
194	egg_innit	1
194	Skyle169	1
194	sufjanlover	1
194	Vol_Rod33	1
194	LexMakesHistory	1
194	Acartec	1
194	Avocadogerms	1
194	Blu3beast	1
194	cytotoxaint	1
194	Vorlice	1
194	Spacewardharpy7	1
194	WyngGoy	1
194	MakeHistory157	1
194	Kura2218	1
194	widgewee	1
194	bloomkieren	1
194	brofrickcheaters	1
194	ediballbearings	1
194	Njensen7	1
194	hermmm_	1
194	Skippeh	1
194	ConnorDanky_	1
194	PeaceAndQuiet	1
194	Freedrik	1
