rank	username	minecraft:used/minecraft:purple_carpet
1	Spacewardharpy7	18209
2	YungMaki	17904
3	joethahobo	4654
4	Huwulling	4131
5	luseis	3827
6	HellsSponge	3032
7	Smoke____	2931
8	jnp_gaming	1367
9	Snowflowe	1161
10	MakeHistory157	839
11	beeperbeeper5	778
12	burbankbuilder28	764
13	Jovaphobic	751
14	lordpipe	547
15	Hermanni__	468
16	kekhon	263
17	ROY4LE	252
18	Legendosh	244
19	mwrty	222
20	MaGro2010	195
21	Apollo_993	157
22	AlazelTheReal	104
23	TechnoNinja64	88
24	Soplight	87
25	Merv__	82
25	Ezekson	82
27	Swexti	77
28	6king6colt6	76
29	wwwwinnebagoooo	69
30	FishisTTV	67
31	BRRRN179	65
31	non089	65
33	12Magner05	62
34	Mahoose	59
35	thewindmillman	58
36	heckface	57
37	KlausVonStiglitz	56
38	SaucyDark	51
39	ZeroAbyssTTV	49
40	TooManyDuck	45
40	FishyBoy3811	45
42	Inbefour	44
43	Enderxz3	39
44	MinttyFressh	37
45	titanlax	35
45	mihimihimihi	35
47	Shogunite	32
48	UrbanPlanningEx	29
49	Rumpletaezer	26
49	fkGrim	26
49	GlitchyPlate810	26
52	TheShyPig	25
53	CattSoup	24
54	Inchef	22
54	lcvezra	22
56	LoboTheLobster	21
56	WyngGoy	21
58	pintsizedrogue	20
59	EMC_	19
59	__tomato	19
61	Njensen7	17
62	KarlKaek	16
62	00000000-0000-0000-0009-01ff0c3e5e4f	16
64	ConnorDanky_	15
65	TheBiggestFeller	14
65	Crowman1	14
67	xxPipperDipperxx	12
67	Kowcio_	12
69	r123moore	11
69	NomadicRobin_	11
69	ThisUserIsStump	11
72	diggydog67	10
73	thgrocks	9
73	MAns_44	9
73	Factoroni	9
73	Fizznut909	9
77	Deerfoot	8
77	PlzNoBM	8
77	KingMatthew506	8
80	RebelAndroid	7
80	AJplaysMC_	7
82	Dali1465	6
82	420BreadLizard	6
82	XxCookiequeenxX	6
85	SquadMonster	5
85	LilLizardWizard	5
85	EcksD	5
88	Cryptacity	4
88	LexMakesHistory	4
88	RoofTyler	4
91	M_Patata	3
91	Tyrannosplart	3
91	Blaiku	3
91	MasterNueve	3
91	Mythic1130	3
91	ediballbearings	3
91	Steelynan	3
91	Eczbek	3
91	Jimb0nat0r	3
100	Lez_	2
100	bloodbiter	2
100	drompje	2
100	DarlaMeow	2
100	claivin	2
105	rarrq	1
105	TheSecondLord	1
105	jushykins	1
105	noam464	1
105	Karetoko	1
105	Di_infiri	1
105	AnnieBathory	1
105	ApophisNova	1
105	RobotMinion101	1
105	cedric72	1
105	Eraxa	1
105	xWeber	1
105	MyNamaSheff	1
105	Zoeyfortnite	1
