rank	username	minecraft:used/minecraft:stone_shovel
1	LordSpeed37	135023
2	Drawgirll	26443
3	m_be9	18551
4	xxPipperDipperxx	10586
5	ExtraDumb	10433
6	Miko_Fullbuster	10427
7	Kryktal	10118
8	rarrq	9108
9	LordAurum	7382
10	Ezekson	5768
11	firesgal3116	5392
12	stahouo	5370
13	KlausVonStiglitz	4992
14	himak1	4809
15	Freak_Genius	4279
16	Kymarmalade	4035
17	SteveCraftBlocks	3804
18	brycepants	3590
19	Soul_Atreus	3096
20	dendydoom	3014
21	Nach0Bear	2939
22	TechnoNinja64	2812
23	stuy9	2736
24	Lowjinx	2734
25	jnp_gaming	2681
26	Blackberry1310	2549
27	Kamflame10	2545
28	rotten_mango	2525
29	KillerNekoRain	2404
30	Deathkob	2355
31	Western_1	2272
32	ImpavidArcher	2270
33	_Boipl_	2238
34	ooga47	2226
35	RoboTramp7865	2219
36	AJplaysMC_	2163
37	_Dean_123	2094
38	NebulousBadger	1877
39	SidorAlex	1871
40	Warlord324	1759
41	natajimi	1744
42	ThatMan_Dave	1602
43	2Stout	1597
44	Tobinator_007	1572
45	RohnJosin	1546
46	Katsuragi0243218	1502
47	chipklip	1450
48	SHAOBADMAN	1448
49	Ssor69	1446
50	CrazyPotater	1359
51	ItzYaBoiPicard	1326
52	Bumpy419	1318
53	_Cloverbelle_	1285
54	xorompole	1187
55	Kferno	1185
56	Purplehere	1184
57	Studyhallsaver	1182
57	avalan64	1182
59	Zythose	1167
60	Winklepicker279	1144
61	BlueZabu	1141
62	Leyna3	1117
63	El_Jalapeno	1084
64	kekhon	1081
65	MADDMASTA	1071
66	Di_infiri	1067
67	DkansK	1060
68	tortillatitan	1056
69	ehunt54	1051
70	Shavrin	1037
71	__Fanda__	1028
72	Stynxy	1003
73	mountaingirl311	990
74	MrButterscotch	959
75	cowgirlkasia	954
76	Groovy_MoonBird	946
77	ElderRifken	933
78	CharlieButt	925
79	ItsAki_	924
80	SvenskaHugo	920
81	SpouHn	917
82	RadarHz	879
83	Kynigito	820
84	TastyPorkchop	817
85	TheShyPig	811
86	M_Patata	807
87	LitoDelvito	806
88	Luigipunch989	801
89	Cidah	796
90	Lord_Jord	795
91	Cortexia	792
91	Schlitzman	792
93	privatemeekly	790
94	FetteMutter	787
94	MasterNueve	787
96	dudcreeper	786
96	DeeDeeThonk	786
96	momis24	786
99	planc_	776
99	StanceTB	776
101	Ozixar	749
102	BreadFruggis	747
103	Powowowow	737
104	XenoWolf_ITA	735
105	6king6colt6	734
106	CoffeeNoir	713
107	Akoot_	711
108	cedric72	693
109	Reamdin	660
109	fr_ser	660
111	oxfordschool	659
112	a_smol_bean	658
113	Lukeee33	656
114	Oxygen16	655
115	lcvezra	648
116	_k2x	642
116	Smoke____	642
118	Ardennes	635
119	SkyHighSkier	627
120	Pootis11	602
121	Cambo5000	581
122	RyuNeko932000	576
123	OfficerAnvil	562
124	lordofthelight95	557
125	Juh1s	552
126	not_a_duck_23	540
126	SammiWolfGirl	540
128	Base_Tempest	538
129	ryan521	531
130	__hinterland__	530
131	Ravenbie	529
132	Choco_Spy	528
133	ori0le	526
134	faulder	525
134	Mistruth	525
136	NotSoJamie	524
136	SolicitedPuma101	524
136	bruh072	524
139	MineMaster0012	523
140	ssniffles	521
141	SKYPEX_	519
142	Shogunite	518
143	Windo_licker	515
144	IronicUwU1	500
145	legoclone09	499
146	IWorkAtIkea	496
147	OnlyOfficial	477
148	Snowflowe	473
149	BreadBacon	472
150	bloodbiter	470
151	iGotUrHost	460
151	DamagedSin	460
153	thescout7	452
154	kiluaemc	450
155	brickman241	445
156	dabloons	439
156	The_Skramz	439
158	DASH_X7	432
159	shdesolt	430
160	Comma__	422
160	_Karmaa	422
162	N7November	419
162	GeromeMerris	419
164	mediumBev	415
165	YungJakobo	413
166	ciemacigans	412
166	RodSerlingCringe	412
166	560cool	412
169	FGamerJ	411
170	titanlax	409
170	Zaridey	409
170	SSytex_X	409
173	Factoroni	407
174	Batoser	405
175	Dan_Scha	403
175	madderfall	403
177	Laykon	401
177	CarltheCuck	401
177	Roikdean	401
180	_stets	399
180	CalebDHawk	399
180	LiquidFenrir	399
183	stopfive	398
184	awesomeweasel	397
184	Typadopoulos	397
186	RatatJuice	395
186	eiC_	395
186	nut_e	395
186	elijahmaroney	395
190	KermitTheKripple	394
191	RebelAndroid	393
191	500am	393
191	ConcretePirate	393
191	crying_wolf_13	393
191	DermeinUser	393
191	JustAWill_	393
191	CarryLine	393
191	Jij0	393
199	ssleepless	392
200	_zzoe	390
201	heckface	384
202	lilsay	380
203	Legendosh	377
204	Nab3rius	371
204	felincaus	371
206	Deguns123	367
207	BRRRN179	365
208	UncleDanDan	364
209	sufjanlover	363
210	Chickenchaser2	357
211	numbra	352
212	AlexStrange	350
213	BigMoneyH	340
214	CruncyIsTaken	334
215	regulator75	331
216	NomRay	328
217	BioKing99	326
218	Suraidu	325
219	DrichAldrich	321
220	MrExplorer	318
221	OG_Songsee	317
222	Icyyyyy	316
222	Fuhrer_Teemo	316
224	fallingemma	314
225	ROY4LE	308
226	BlossomOwO	303
227	MattieHD	300
227	QueenOfDirt	300
229	Skyle169	298
229	stavgod	298
231	bpmm	297
231	Deadlyy	297
231	RedcatVII	297
234	Minc_	294
235	mawileite	292
236	Im_SMX	287
237	ProfessorBee	281
238	ashetrays	279
239	Peeing	276
240	Lumien_	273
240	PabloGonza02	273
242	SharpDev	272
243	WYFYoyo	271
244	stickwhiskers	270
244	420BreadLizard	270
244	NoChumpChange	270
247	ProbsNotNova	269
248	Natty	268
249	jjettii	267
249	epiksk8erduck	267
251	FirsTimeGamingTV	266
251	ImDisconnected_	266
251	Matorz	266
251	robotemo	266
251	Deliriohm	266
256	MusicMe1005	265
257	Paleshield	264
257	ratglock	264
257	Robby_Cream	264
257	calajimi	264
257	SUN_DREAM	264
257	sleepdrifter_	264
263	ShedJr_	263
263	mennorovers	263
263	Diavri	263
263	TableTim	263
263	DarkLawD	263
263	zmpeg	263
269	gizmo98	262
269	JingleLizi	262
269	dopplexd	262
269	InfernalMound	262
269	Guillemet	262
269	GLLogan2	262
269	Bobby808	262
269	loveseeker	262
269	AnnieBathory	262
269	Onennon	262
269	Huic_ostiarius	262
269	Kim_Jong_eel	262
269	BumbleBeever	262
269	Toriankel	262
269	CLUBN2	262
269	Slapface522	262
285	Harotio	261
285	TakeThis2UrGrave	261
285	Invisie	261
285	babyjimmyneutron	261
285	gaming4Naming	261
290	baboonlord400	260
291	Hisiste	259
292	Vincent________	258
293	Parcc	254
294	Shychelsoo	253
294	starbits140	253
296	DarlaMeow	252
297	IforgotCS_Source	251
298	Ninzyyy	250
299	obzii	249
300	Froste131	247
