rank	username	minecraft:used/minecraft:dark_prismarine_stairs
1	Fullut	2676
2	xolstoi	1845
3	pintsizedrogue	1111
4	EveryonesUncle	965
5	rarrq	953
6	Frozil20	951
7	PlasticOtari	676
8	Biites	599
9	Smoke____	575
10	Shogunite	532
11	12Magner05	505
12	Snowflowe	457
13	beeperbeeper5	453
14	Winklepicker279	435
15	Spacewardharpy7	431
16	EcksD	430
17	Barlycorn	422
18	Steelynan	219
19	TheShyPig	216
20	Marbz_	208
21	Arceus1975	202
22	Dusk_95	198
23	MakeHistory157	174
24	PigDab	171
24	Blaiku	171
26	Legendosh	159
27	Lord_Jord	153
28	Ezekson	148
29	lizardfightclub	137
30	Enderxz3	136
31	Soplight	104
32	Mahoose	99
33	noam464	95
34	Mr_Byzantine	86
35	ImpavidArcher	74
36	CliffEmAll	68
37	Hyp3rion_	65
38	Azmodan_246	59
39	Racengan	58
39	YungMaki	58
41	LittleBug562	57
42	TheSecondLord	51
43	Eraxa	50
44	Bumpy419	49
45	Jackattack53	37
46	m_be9	36
46	groofles	36
46	Maenara	36
49	KarlKaek	32
50	2bolx_	30
51	diamondgolem35	28
52	thewindmillman	26
53	LetsDoItLive	24
54	joethahobo	17
55	lordpipe	14
56	Fuad_R	13
57	EngagedGrub41	12
57	Skippeh	12
59	SmashingPump	11
59	h2p_emrld	11
61	4383	10
61	gcaisawesome	10
61	jnp_gaming	10
64	eitanzaki	7
65	HellsSponge	5
66	Zythose	4
66	Werbe	4
66	xDraggin	4
66	Groundler	4
70	RebelAndroid	3
70	Lez_	3
70	Smashic	3
73	MattieHD	2
73	Huic_ostiarius	2
73	Deathkob	2
76	Merv__	1
76	C0by3llis	1
76	Di_infiri	1
76	MangoTheFish	1
76	binman420	1
76	masskedman	1
76	_Karmaa	1
76	SkateboardR6	1
76	stavgod	1
76	Eczbek	1
