rank	username	minecraft:used/minecraft:chainmail_boots
1	luseis	17
2	Blackberry1310	12
3	Mahoose	9
4	pintsizedrogue	2
4	Smashic	2
4	fluddd	2
4	UCP_TheKingK	2
4	Segotep999	2
9	Myszoaz	1
9	imcombxt	1
9	91stCataclysm	1
9	SuperPooch06	1
9	Hyp3rion_	1
9	Rocco_Lane	1
9	Ghemmah	1
9	Akoot_	1
9	Manaateee	1
9	StinkyDiplomat	1
9	FreakGenius	1
9	ChiefThrock	1
