rank	username	minecraft:used/minecraft:warped_roots
1	Ezekson	223
2	Smoke____	199
3	thewindmillman	134
4	Fullut	84
5	T045RTY	77
6	beeperbeeper5	65
7	TheSecondLord	46
8	Kowcio_	43
9	Mahoose	38
10	ZA07	37
11	rarrq	28
11	YungMaki	28
13	Kubelz	21
14	_Dean_123	20
15	DinoDoctor_	18
16	Historical_Sand	14
16	r123moore	14
16	lordpipe	14
19	djancak	12
19	diggydog67	12
21	CoffeeNoir	10
21	Swexti	10
21	Kubeusz2010	10
24	Ryker	9
24	NomadicRobin_	9
26	Luigipunch989	8
26	PlasticOtari	8
28	Inchef	6
28	anbbang	6
30	titanlax	5
30	trixterrx	5
30	LeGold	5
30	lizardfightclub	5
30	Blaiku	5
35	Wooptey	4
35	GlitchyPlate810	4
37	joethahobo	3
37	TheDankPlatypus	3
37	RadarHz	3
37	Jimb0nat0r	3
41	pintsizedrogue	2
41	Jindong	2
41	eitanzaki	2
41	SquadMonster	2
41	Blackberry1310	2
41	noam464	2
41	Hyp3rion_	2
41	EveryonesUncle	2
41	DarlaMeow	2
41	Dusk_95	2
41	_Yonk_	2
41	EngagedGrub41	2
41	MissCeleste7	2
41	jnp_gaming	2
41	00000000-0000-0000-0009-01ff0c3e5e4f	2
56	Krasnal1337	1
56	teslawolf38	1
56	diamondgolem35	1
56	RatatJuice	1
56	SyntheticSurgeon	1
56	Lez_	1
56	12Magner05	1
56	kekhon	1
56	Enigma0251	1
56	mwrty	1
56	Marbz_	1
56	Di_infiri	1
56	whoaluv	1
56	Zythose	1
56	JitteryJared2	1
56	Afinnity	1
56	Dan_Scha	1
56	luseis	1
56	Lutres_Torane	1
56	SingedBread	1
56	mihimihimihi	1
56	Ze_BaronKrigler	1
56	Eraxa	1
56	brofrickcheaters	1
56	ConnorDanky_	1
56	cichy096	1
56	Enderxz3	1
56	TechnoNinja64	1
56	xolstoi	1
