rank	username	minecraft:used/minecraft:spruce_slab
1	Shogunite	16154
2	Ezekson	16007
3	Onennon	14959
4	PigDab	13722
5	EMC_	12930
6	EveryonesUncle	10896
7	Barlycorn	10309
8	Legendosh	10071
9	pintsizedrogue	8902
10	_Dean_123	8371
11	rarrq	8218
12	Steelynan	7410
13	Mahoose	6732
14	Frozil12	6554
15	Eraxa	6033
16	TheShyPig	5993
17	Smoke____	5851
18	Merv__	5806
19	El_Jalapeno	5256
20	burbankbuilder28	5204
21	500am	5033
22	beeperbeeper5	5000
23	SvenskaHugo	4936
24	EcksDofficial	4557
25	Kakolbus	4409
26	RobotMinion101	4273
27	RodSerlingCringe	4266
28	kekhon	4164
29	ogoa	4083
30	Inchef	3866
31	Rumpletaezer	3772
32	Groundler	3738
33	xxPipperDipperxx	3325
34	ApophisNova	3304
34	MyNamaSheff	3304
36	r123moore	3158
37	TheSecondLord	3136
38	Historical_Sand	3065
39	_Karmaa	2892
40	PlasticOtari	2854
41	Deodorante	2852
42	HellsSponge	2850
43	Lord_Jord	2754
44	CoffeeNoir	2690
45	Hermanni__	2563
46	ImpavidArcher	2557
47	Arceus1975	2349
48	m_be9	2339
49	Jiminie	2299
50	Skippeh	2249
51	TooManyDuck	2242
52	Natty	2235
53	oxfordschool	2202
54	Soplight	2119
55	fkGrim	2071
56	titanlax	2002
57	SlayerCrypto	1991
58	diamondgolem35	1926
59	Blackberry1310	1851
60	Skylord_Luke	1828
61	YungMaki	1827
62	Zythose	1795
63	AuroraSkies	1745
64	OfficerAnvil	1721
65	Racengan	1703
66	Hoid_the_Roamer	1672
67	diggydog67	1668
68	wwwwinnebagoooo	1653
69	Deathkob	1614
70	redikul	1573
71	PortlyPete69	1567
72	Snowflowe	1559
73	_stets	1552
74	MinttyFressh	1451
75	Unitas_isa	1395
76	Fullut	1387
77	dabloons	1382
78	BlueZabu	1351
79	Cryptacity	1340
80	KarlKaek	1337
81	joethahobo	1272
82	Enderslayerxz3	1270
83	Tommhh	1238
84	MyNameIsJobo	1229
85	anbbang	1180
86	Chromary	1176
87	Kowcio_	1154
88	lcvezra	1147
