rank	username	minecraft:used/minecraft:jungle_wood
1	Onennon	274
2	noam464	168
3	Kferno	148
4	Smoke____	112
5	TheSecondLord	109
6	joethahobo	96
7	BronkerBrum	80
8	SvenskaHugo	72
9	CollinMH06	51
10	Mahoose	35
11	Cryptacity	29
12	epiksk8erduck	19
12	oxfordschool	19
14	xxPipperDipperxx	14
14	MyNameIsJobo	14
14	Bumpy419	14
17	ShedJr_	12
17	Maenara	12
17	CookTheChef3	12
17	jnp_gaming	12
21	H72l9w	11
22	RodSerlingCringe	10
23	Groundler	9
23	Airem_Core	9
23	Soplight	9
23	KingMatthew506	9
27	Prodiginus	8
27	PlasticOtari	8
29	thescout7	6
30	InfernalMound	5
30	Inbefour	5
30	HellsSponge	5
33	Incinere	3
33	Michaelelelelele	3
33	SteveCraftBlocks	3
33	PigDab	3
37	SaucyDark	2
37	Franco093	2
37	RobotMinion101	2
40	_Virify_	1
40	RefluxRatio	1
40	Shogunite	1
