rank	username	minecraft:used/minecraft:cherry_log
1	Apollo_993	5294
2	Lez_	3997
3	LuvLuvLove	2056
4	KarlKaek	2036
5	Enderxz3	1535
6	Mattesco	1421
7	Pumpkin_P_Patch	1244
8	Hyp3rion_	678
9	StarCookiees_	674
10	Dynamic_wolf_1	638
11	Lazy_geniusig	588
12	Mr_Byzantine	502
13	Rebytre	438
14	XxCookiequeenxX	434
15	RatatJuice	420
16	11Brewer	386
17	pintsizedrogue	309
18	OreTheBear	276
19	cuddlyMonster	269
20	MattieHD	261
21	Alteriity	236
22	TheSecondLord	231
23	milltesco	227
24	Kowcio_	222
25	Reneedium	216
26	Krowuss	161
27	Moofyman	154
28	PercivalCaduceus	151
29	Cache3	139
30	icim	137
31	Archsam	127
32	Werbe	125
33	Colmer94	120
34	Tersea_	118
35	Alex_Hansen	117
36	LovableFemboy	110
37	AmmiDesu	95
38	oscminus	92
39	FiguraDei	89
40	EveryonesUncle	85
41	_Huge_Male_	82
42	thatsjustfrankie	79
43	Steelynan	78
44	Napoleonpancake	71
45	Juansinmiedo18	70
46	Mr_Sun15	68
46	TheWickedBird	68
48	luseis	63
49	Huwulling	53
50	pizzarel_	51
51	HUNTERmaun	46
52	powercas_gamer	43
53	Athenaeaen	41
54	AstreaTSS	40
54	robonya_	40
56	shineh10	35
57	k_ce	31
57	emreknugrlu	31
59	SpacesickPrism	26
60	hydrothebot	24
61	philandr	21
62	_witch_craft_	18
63	DJzombiehunter	17
64	Nach0Bear	15
64	Hahaa_0	15
66	ECstardust	13
66	royal_2	13
68	mymayowasgone	12
68	xxPipperDipperxx	12
68	noam464	12
71	Merv__	11
71	beeperbeeper5	11
71	bl1ss0	11
71	U_Mos_	11
71	pixelviolin	11
76	Manaateee	10
76	Synthoum	10
78	Lorcout	9
78	Moss_2006	9
80	Buuck_	8
81	lunaticusx	7
82	Frigzy_	6
82	steppe_nomad	6
82	Sleepy_Evelyn	6
82	12Magner05	6
82	excelsionprime	6
82	Myntsys	6
82	Legendosh	6
82	Yamdalorian	6
90	craaaash	5
90	Mr_Froxy	5
92	Jackattack53	4
93	lorywithay	3
93	Hetti301	3
93	Hashises	3
96	SvenskaSara	2
96	Gus2005	2
98	SpartanNamor	1
98	PazinGaming	1
98	SOA1RR	1
98	QuiCreans	1
98	Kondzik2008	1
98	nagyvad	1
98	NATE_the_HALO	1
98	MisfitsMike	1
