rank	username	minecraft:used/minecraft:granite
1	Smoke____	13541
2	TheShyPig	11386
3	joethahobo	10802
4	gcaisawesome	4049
5	HellsSponge	3542
6	Kakolbus	3507
7	EMC_	3284
8	SuperPooch06	2783
9	Franco093	2219
10	PlasticOtari	2078
11	Arceus1975	1805
12	Spacewardharpy7	1752
13	Steelynan	1710
14	Freak_Genius	1662
15	EveryonesUncle	1635
16	pintsizedrogue	1558
17	DemTechAlpha	1549
18	Onennon	1530
19	vandmanden	1502
20	Enderslayerxz3	1472
21	YungMaki	1471
22	Lord_Jord	1425
23	ApophisNova	1247
23	MyNamaSheff	1247
25	lordpipe	1190
26	El_Jalapeno	1143
27	CoffeeNoir	1134
28	_Bguette_	953
29	beeperbeeper5	942
30	Zythose	917
31	eitanzaki	883
32	MyNameIsJobo	852
33	Di_infiri	842
34	Snowflowe	837
35	Jiminie	828
36	kekhon	810
37	lcvezra	799
38	eviltunix	786
39	awesomeoneme	728
40	Werbe	695
41	q_wq	686
42	Z3braYTIL	683
43	LordSpeed37	656
44	noam464	612
45	Ezekson	611
46	Mahoose	605
47	Frozil12	570
48	m_be9	566
49	alderban107	565
50	CrateOfBoxes	547
51	12Magner05	545
52	TheDankPlatypus	538
53	EcksDofficial	534
54	Bumpy419	524
55	Rumpletaezer	505
56	TechnoNinja64	495
57	Fullut	461
58	Historical_Sand	455
59	M_Patata	453
60	Stiar	445
61	Legendosh	444
62	Nicky_H225	439
63	Hyp3rion_	434
64	thewindmillman	411
65	PigDab	369
66	TheSecondLord	360
67	MasterNueve	356
67	EcksD	356
69	Xclax101	355
70	BobDeBouwer1337	346
71	NoChumpChange	341
72	ShedJr_	338
73	ROY4LE	337
74	Merv__	332
75	Soplight	326
76	Fuhrer_Teemo	321
77	BlankityMcBlank	317
78	Blackberry1310	315
79	Blu3beast	311
80	Hisiste	303
81	Menthas	300
82	Rebytre	298
82	fluddd	298
84	I_Am_Mushkin	297
85	claivin	292
86	_Nuf	290
87	cedric72	287
88	Kferno	286
89	gabriels543	277
90	Akoot_	273
91	Jackattack53	271
92	ImpavidArcher	268
93	MilleGrug	267
94	Groundler	264
95	FelixPSY375	263
96	T045RTY	261
97	mwrty	258
97	drompje	258
99	PhantomsGhost_	256
100	Louiis123	252
101	Giannism	249
102	_Boipl_	240
103	stavgod	238
104	Cowison	230
105	LeauVox4921	229
106	SquadMonster	227
106	PlzNoBM	227
108	Scathra	226
108	DAD_1996	226
110	SingedBread	222
110	oxfordschool	222
112	Dedalus36	220
112	benediktine1	220
114	Malorn_Aetherius	214
114	geekbird	214
116	StinkyDiplomat	213
117	platinumzero	208
118	Awyrlas	202
119	Nicserso	201
120	Blaiku	196
121	Hermanni__	193
122	MattieHD	190
122	500am	190
124	groofles	189
125	teslawolf38	187
125	SvenskaHugo	187
127	Racengan	185
128	fkGrim	184
129	Sral7	182
130	PegLegPete93	181
131	CollinMH06	179
132	chipklip	176
133	thescout7	175
133	Powowowow	175
135	Kubelz	173
135	Felenov	173
137	Miko_Fullbuster	171
137	jnp_gaming	171
139	Spenduh	170
140	selectrix	166
141	Slapface522	165
142	CalebDHawk	164
143	Xalithia	161
143	Logain42	161
143	Kubeusz2010	161
143	TheOuterCore	161
147	RebelAndroid	160
148	Groovy_MoonBird	159
149	emrekn	158
149	Inchef	158
149	brofrickcheaters	158
149	jaimshae	158
153	Leyna3	157
154	h2p_emrld	156
155	Segotep999	155
156	Eczbek	153
157	Comma__	151
157	Zoeyfortnite	151
159	iHuntWeeaboos	147
160	H72l9w	146
161	Nycteus_	145
161	Oxygen16	145
163	fred870d	144
164	Jonte0599	143
164	Shogunite	143
166	ProfessorBee	141
167	lotarp	140
167	FallenCorps	140
169	GLLogan2	136
170	Ryker	135
171	Base_Tempest	133
172	Maenara	132
173	Quaintster	130
173	KingMatthew506	130
175	WyngGoy	129
176	MangoTheFish	128
176	MightyWertu	128
178	theonlymagikarp	124
178	Rasmanden	124
178	Karbl	124
178	Warlord324	124
178	ayamefag	124
183	Inbefour	122
183	SkateboardR6	122
185	Hpdinosaur	120
186	ewsophie	117
186	bloodbiter	117
188	ssleepless	114
188	Swexti	114
190	_Virify_	113
190	rarrq	113
190	MakeHistory157	113
193	Quotary	111
193	HesDemonPants	111
195	__tomato	110
196	2blox	109
197	RadarHz	108
198	Snow_Blizzard	107
199	Russiancat1	106
200	jewbacaman	105
200	SSytex_X	105
200	MeetTheWollo	105
203	SUN_DREAM	104
204	Yatitay	103
204	Incinere	103
204	Hiryu27	103
204	DanTheBuilderino	103
204	anbbang	103
209	Lutres_Torane	102
209	SammiWolfGirl	102
211	BigBootyHudge	101
211	zorin123	101
211	0nly_sn1per	101
214	set67	100
214	GoofyBread	100
216	heckface	99
216	NomadicRobin_	99
218	p4lp	98
219	dongli	96
219	PortlyPete69	96
221	Kowcio_	95
222	Jovaphobic	94
222	abramgray	94
224	ivorico	93
225	gaziter10	92
225	AlphaWolfPlaysMC	92
225	GlitchyPlate810	92
228	stahouo	91
229	bigstankyy	90
229	Vizzoid	90
229	Megarboh	90
232	fanofbands101	88
232	Drlzyy	88
232	egglapras	88
232	Corbsman	88
232	Njensen7	88
237	_TCARREIRA_	87
238	Gamergirl420628	86
238	Quincannon	86
238	Erased_Identity	86
241	MinttyFressh	85
241	4774	85
243	Deerfoot	84
244	morgangauk	83
244	Deathkob	83
246	pixelviolin	82
247	jushykins	81
248	diamondgolem35	79
248	RyuNeko932000	79
250	zmpeg	78
251	Mr_Byzantine	77
251	_naturell	77
251	Joestra	77
254	IWorkAtIkea	76
254	RobotMinion101	76
254	wwwwinnebagoooo	76
254	_Ruzeeq_	76
254	Nagasaki_Riku	76
259	TheThomas69	75
259	Aerqophs	75
259	obzii	75
259	UltraZombie	75
263	hcb238	74
263	bloomkieren	74
265	Euclidoris	73
265	crying_wolf_13	73
265	Afinnity	73
265	NameGenerat0r	73
265	Eraxa	73
270	Sky_light_KING	72
271	dudcreeper	71
271	Skippeh	71
273	RatatJuice	70
273	Meatlaugh	70
273	robotemo	70
276	nataliecool	69
276	SeverianTheLame	69
278	JEWISHBadenBeele	67
278	eiC_	67
278	masskedman	67
278	MissCeleste7	67
282	Froste131	66
282	Skomo	66
284	xxPipperDipperxx	65
284	TheWildMateo	65
284	Sheldor097	65
287	CharlieButt	64
287	wTXop	64
287	xKhoshekh	64
287	silverpopcorn	64
291	sejekasper1	63
291	BilboBaggins23	63
291	r123moore	63
291	ProfessorDiaper	63
295	Leksanda	62
295	Donutt	62
295	NormanFetus	62
298	WET_WET_WET	61
299	ExtraDumb	60
299	Natty	60
