rank	username	minecraft:used/minecraft:red_sandstone
1	Frozil20	1430
2	Xclax101	1290
3	TheWildMateo	813
4	Fullut	311
5	FreakGenius	249
6	AdmiralSmoke	174
7	TheShyPig	130
8	bloodbiter	119
9	ROY4LE	118
10	Groovy_MoonBird	97
11	Steelynan	69
12	Sral7	58
13	PhantomsGhost_	55
14	Onennon	51
15	ConnorDanky_	49
16	RobotMinion101	41
17	lordpipe	34
18	ImpavidArcher	29
19	Merv__	24
20	joethahobo	20
21	pintsizedrogue	19
22	Eraxa	14
23	RatatJuice	13
24	pr33tu	12
25	Jackattack53	11
26	Parcc	8
27	Lez_	7
28	SvenskaSara	5
29	Wowful	4
30	HoldThis_L	3
31	Di_infiri	2
31	ItsDeltaMC	2
33	lotarp	1
33	Mahoose	1
33	ProfessorBee	1
33	noam464	1
33	M_Patata	1
33	audiocracked	1
33	Tyrannosplart	1
33	JESS_THE_RERE	1
33	Manaateee	1
33	MustaLoordi	1
33	Spacewardharpy7	1
33	MasterNueve	1
33	KingMatthew506	1
