rank	username	minecraft:used/minecraft:light_gray_bed
1	SvenskaAlvar	114
2	starbits140	67
3	PhantomsGhost_	45
4	Blackberry1310	44
5	Frozil12	39
6	Mahoose	32
7	Xalithia	23
8	LordSpeed37	22
9	eitanzaki	20
10	RoskobiOne	19
11	DarlaMeow	18
12	Shogunite	17
13	eiC_	14
14	thescout7	13
15	m_be9	12
15	BreadBacon	12
17	rarrq	11
18	bloodbiter	10
19	pintsizedrogue	9
19	500am	9
19	Freak_Genius	9
19	Soplight	9
19	JayToe	9
24	Historical_Sand	8
24	Valoth	8
24	loveseeker	8
24	fred870d	8
28	RebelAndroid	7
28	TheSecondLord	7
28	fkGrim	7
28	IdeallyGrey	7
32	orxngejuice	6
32	alfredothemaster	6
32	Zoeyfortnite	6
35	BilboBaggins23	5
35	sufjanlover	5
35	NameGenerat0r	5
35	Kateesaur	5
39	titanlax	4
39	gabriels543	4
39	Truckoss	4
39	SingedBread	4
39	lcvezra	4
44	ImpavidArcher	3
44	ShedJr_	3
44	MrExplorer	3
44	_Nuf	3
44	eclipseboi	3
44	Smashic	3
44	2Stout	3
44	TheShyPig	3
44	Blaiku	3
44	SkateboardR6	3
44	sp00ky_ghost977	3
44	pixelviolin	3
44	djancak	3
44	oxfordschool	3
44	RadarHz	3
44	smogfrog	3
60	Bandito_Roamer	2
60	CueMix	2
60	CoffeeNoir	2
60	Arteriana	2
60	aluminumhelmet	2
60	jushykins	2
60	MattieHD	2
60	GingerNeutron	2
60	mwrty	2
60	platinumzero	2
60	Minc_	2
60	FetteMutter	2
60	BigMoneyH	2
60	Fast_Turtle	2
60	Kokeech	2
60	MonitorLizards	2
60	Katthaj	2
60	legoclone09	2
60	gaming4Naming	2
60	Hermanni__	2
60	potatocan	2
60	imaginek1d	2
82	Travasaur	1
82	Cowison	1
82	Paleshield	1
82	_Razar	1
82	Reamdin	1
82	joethahobo	1
82	Auseawesome	1
82	Inchef	1
82	xxPipperDipperxx	1
82	Ecplosive	1
82	fr_ser	1
82	Proxy_Man	1
82	DAD_1996	1
82	BlossomOwO	1
82	Chrisdeadeye	1
82	cedric72	1
82	lizardfightclub	1
82	Leyna3	1
82	MyNameIsDakar	1
82	queenalina123	1
82	Jamstroxian	1
82	censorsheep	1
82	__Auspicious	1
82	Factoroni	1
82	IAmTheWalrus910	1
82	csendeslol	1
82	Eraxa	1
82	TheEnderman548	1
82	underscore_2	1
82	BlankityMcBlank	1
82	UCP_TheKingK	1
82	ssniffles	1
82	Steelynan	1
82	Smoke____	1
