rank	username	minecraft:used/minecraft:dead_fire_coral
1	Blackberry1310	2
2	jessewegottacook	1
2	titanlax	1
2	ApophisNova	1
2	HellsSponge	1
2	YungMaki	1
2	MyNamaSheff	1
