rank	username	minecraft:used/minecraft:dead_horn_coral_block
1	Legendosh	968
2	Lord_Jord	93
3	TheSecondLord	76
4	Eraxa	49
5	cog	36
6	hollowww	21
7	pintsizedrogue	14
8	kekhon	10
9	ImpavidArcher	7
10	Prismyst	6
10	1442	6
12	Moofyman	5
12	_Bguette_	5
14	diamondgolem35	4
14	Ssor69	4
14	Bumpy419	4
17	El_Jalapeno	3
18	burbankbuilder28	2
18	TheShyPig	2
18	jambvds	2
18	ItsDeltaMC	2
22	eitanzaki	1
22	BodaciousCake	1
22	AlazelTheReal	1
22	Shazzyling	1
22	Blackberry1310	1
22	noam464	1
22	XboxPanda	1
22	Di_infiri	1
22	Rebytre	1
22	Skylord_Luke	1
22	LilLizardWizard	1
22	wezzzi	1
22	EveryonesUncle	1
22	cytotoxaint	1
22	lordpipe	1
22	Western_1	1
22	PlasticOtari	1
