rank	username	minecraft:used/minecraft:diamond_chestplate
1	TheBananaKat	45
2	NATE_the_HALO	43
3	lorywithay	19
4	pizzarel_	17
5	powercas_gamer	16
6	ActualPatbaf	11
7	TheSecondLord	9
7	Mattesco	9
7	luseis	9
10	SvenskaSara	8
10	Kowcio_	8
12	Gryglu583	7
12	technic_squirrel	7
14	H0UNDFRMH3LL	6
14	DinoDoctor_	6
14	cichy096	6
17	MineMaster0012	5
17	00000000-0000-0000-0009-01f9013b764e	5
19	Mahoose	4
19	Luminad3	4
21	SlayerCrypto	3
21	Hyp3rion_	3
21	HyperCave	3
21	FadedSpade82	3
21	00000000-0000-0000-0009-01ff0c3e5e4f	3
26	Myszoaz	2
26	rarrq	2
26	Arch3lia	2
26	12Magner05	2
26	Smashic	2
26	AmbroseForLife	2
26	Arceus1975	2
26	TheWildMateo	2
26	PaperCanvas	2
26	Akoot_	2
26	Hahaa_0	2
26	Tiktola01	2
26	CuzIm2Kev	2
26	Yahir091	2
26	calamariclam_I	2
41	xvphmura	1
41	Krasnal1337	1
41	xExpresso	1
41	Groovy_MoonBird	1
41	CLG_Kata	1
41	CloroxBleach385	1
41	_stets	1
41	Haficzeq6984	1
41	Merv__	1
41	vanabell06	1
41	Frozil20	1
41	zachkdi	1
41	Jindong	1
41	itburb	1
41	eitanzaki	1
41	C0by3llis	1
41	R0cketmanstan	1
41	jessewegottacook	1
41	blevster	1
41	SquadMonster	1
41	JuuustYeet	1
41	Crowman1	1
41	Jakobo1337	1
41	Jrar_	1
41	orxngejuice	1
41	Touched_Bread	1
41	Kakolbus	1
41	doggysam15	1
41	GOOBERGABE04	1
41	PosPsycher	1
41	hanaryheatwave	1
41	corpsecity	1
41	niamhie4	1
41	Cjay925	1
41	Krowuss	1
41	OreTheBear	1
41	d4mndaniel2	1
41	KartivGal	1
41	Zielo2017PL	1
41	Samificator	1
41	parodypatient	1
41	autisticcupcake	1
41	WeebleSock	1
41	Dakar_	1
41	Fuad_R	1
41	Walter___White__	1
41	Ooosa	1
41	Blu3beast	1
41	AnArtisticDud	1
41	THEKINGLyric10	1
41	wwwwinnebagoooo	1
41	Jjackoe	1
41	Bonzaidalek	1
41	TheAnonymousHobo	1
41	NiveauSubmarine	1
41	TheEnderMan548	1
41	_JrTurtle_	1
41	pixelviolin	1
41	Segotep999	1
41	Soplight	1
41	AshleySpiritHawk	1
41	BurgerKnight	1
41	Physics_Breaker	1
41	EcksD	1
41	Crimsongale	1
41	McGabsy	1
41	Earlesstrain4	1
41	xolstoi	1
41	WYFYoyo	1
41	FishisTTV	1
41	Fire_beast	1
41	00000000-0000-0000-0009-01fec705f83f	1
41	00000000-0000-0000-0009-01fc3bb26159	1
41	00000000-0000-0000-0009-01f7965f8059	1
41	00000000-0000-0000-0009-01f3e0064b49	1
41	00000000-0000-0000-0009-01f073f37a91	1
