rank	username	minecraft:used/minecraft:bamboo_trapdoor
1	_witch_craft_	1022
2	LuvLuvLove	881
3	Buuck_	534
4	k_ce	158
5	Mattesco	142
6	Cache3	124
7	Mr_Sun15	102
8	milltesco	94
9	Mr_Byzantine	52
10	Hoid_the_Roamer	40
11	Steelynan	38
12	Jimb0nat0r	33
13	Merv__	31
14	TheSecondLord	26
15	luseis	15
15	Synthoum	15
17	MattieHD	12
17	Enderxz3	12
19	robonya_	10
20	Bambuino	9
21	pintsizedrogue	7
22	Yamdalorian	6
23	craaaash	5
23	Legendosh	5
25	bl1ss0	4
25	cuddlyMonster	4
27	Penguinllama517	2
28	EveryonesUncle	1
28	Pumpkin_P_Patch	1
