rank	username	minecraft:used/minecraft:light_blue_glazed_terracotta
1	Smoke____	1039
2	eitanzaki	896
3	thewindmillman	578
4	noam464	557
5	lordpipe	511
6	Inbefour	462
7	Merv__	452
8	beeperbeeper5	240
9	Hyp3rion_	116
10	Shogunite	109
11	MakeHistory157	59
12	KG1999	58
13	El_Jalapeno	55
14	Di_infiri	51
15	KarlKaek	49
16	Soplight	44
17	Hiryu27	34
18	Quotary	27
19	YungMaki	22
20	Arceus1975	21
21	Wooptey	19
21	2Stout	19
23	r123moore	18
24	Werbe	16
25	Onennon	13
26	EcksD	12
27	TheShyPig	9
28	Freak_Genius	8
29	Bumpy419	7
29	Meatlaugh	7
31	Mahoose	6
31	mobunni	6
33	chipklip	5
33	Powowowow	5
35	AJplaysMC_	4
35	Zythose	4
35	jnp_gaming	4
38	joethahobo	3
38	m_be9	3
38	xxPipperDipperxx	3
38	Ezekson	3
42	ImpavidArcher	2
43	Gundam_Steven	1
43	thgrocks	1
43	Blaiku	1
43	Spacewardharpy7	1
43	ItsDeltaMC	1
43	OG_Songsee	1
43	stahouo	1
43	EcksDofficial	1
