rank	username	minecraft:used/minecraft:string
1	Historical_Sand	3202
2	noam464	2651
3	mwrty	1429
4	jnp_gaming	1420
5	m_be9	1340
6	joethahobo	919
7	Jackattack53	851
8	Racengan	840
9	HellsSponge	820
10	wezzzi	815
11	eitanzaki	781
12	Soplight	776
13	Jiminie	736
14	Mahoose	679
15	Legendosh	625
16	Freak_Genius	577
17	Blackberry1310	500
18	EcksD	491
19	Spacewardharpy7	490
20	thescout7	482
21	Di_infiri	365
22	Frozil12	358
23	Merv__	331
24	Groundler	309
25	Fullut	299
26	Blaiku	286
27	YungMaki	273
28	Steelynan	264
29	Hyp3rion_	258
30	tuckerdoodle	244
31	FishyBoy3811	240
32	Incinere	231
33	_Dean_123	220
34	beeperbeeper5	216
35	TheThomas69	213
36	kekhon	200
37	benediktine1	194
38	DanTheBuilderino	192
39	_Virify_	190
39	ImpavidArcher	190
39	PigDab	190
42	TheSecondLord	189
43	ogoa	173
44	ExtraDumb	152
45	MyNameIsJobo	146
46	gcaisawesome	142
47	thewindmillman	141
48	ApophisNova	137
48	MyNamaSheff	137
50	Smoke____	135
51	pintsizedrogue	119
52	Akoot_	111
53	TheShyPig	110
54	MattieHD	106
55	The_Quack_Dealer	95
55	BumbleBeever	95
57	Eraxa	94
58	ClemenPine	92
59	12Magner05	89
59	M_Patata	89
59	Sky_light_KING	89
59	MasterNueve	89
63	XboxPanda	88
63	El_Jalapeno	88
65	Groovy_MoonBird	86
66	_Bguette_	85
67	lordpipe	83
68	Zoeyfortnite	81
69	sp00ky_ghost977	80
70	Quotary	79
71	RebelAndroid	77
71	T045RTY	77
71	NameGenerat0r	77
74	oxfordschool	74
75	epiksk8erduck	73
76	Hermanni__	72
76	Enderslayerxz3	72
78	Kubeusz2010	67
79	diggydog67	62
80	dezxalo	56
81	SteveCraftBlocks	55
82	NomadicRobin_	53
82	audiocracked	53
82	PlasticOtari	53
85	Hisiste	52
86	FirsTimeGamingTV	51
87	Eczbek	50
88	Sral7	49
89	ShedJr_	48
89	MangoTheFish	48
89	Ezekson	48
92	claivin	46
93	MightyWertu	45
94	500am	44
94	lillips	44
94	EcksDofficial	44
97	Arceus1975	43
98	titanlax	42
99	JESS_THE_RERE	39
100	r123moore	35
101	WyngGoy	34
101	__tomato	34
103	EveryonesUncle	33
103	SvenskaHugo	33
105	eclipseboi	32
105	Onennon	32
105	Maenara	32
108	rarrq	31
108	Werbe	31
110	Inchef	29
111	loveseeker	28
112	Cowison	27
112	H72l9w	27
112	xo_Marren_xo	27
115	heckface	24
115	MyNameIsDakar	24
115	The_slideV3	24
115	Blu3beast	24
119	Ailmast	22
119	LAVA129	22
119	RobotMinion101	22
119	obzii	22
123	Kekoo	21
124	PhantomsGhost_	20
124	Hpdinosaur	20
124	fluddd	20
124	MeetTheWollo	20
128	SammiWolfGirl	19
129	Deerfoot	18
129	Powowowow	18
131	SquadMonster	17
131	pixelviolin	17
131	Kowcio_	17
131	jcool7	17
135	cedric72	16
135	Deathkob	16
135	Airem_Core	16
135	_3Stump_	16
139	SuperPooch06	15
139	Wowful	15
139	laron58	15
139	Nicserso	15
143	hm947	14
144	fred870d	13
144	Shiirazuku	13
144	chipklip	13
144	FishisTTV	13
148	Ssor69	12
148	Malorn_Aetherius	12
148	DeeDeeThonk	12
148	ElectricDragon81	12
152	KingFaenor	11
152	I_Am_Mushkin	11
152	Rich_Kat	11
152	GLLogan2	11
152	andy_rex	11
157	ccormacs	10
157	UncreativeArtist	10
157	Chromary	10
157	RodSerlingCringe	10
157	CalebDHawk	10
162	_stets	9
162	Rumpletaezer	9
162	CruncyIsTaken	9
162	Leyna3	9
162	Meatlaugh	9
162	UCP_TheKingK	9
162	Fizznut909	9
162	stahouo	9
162	TechnoNinja64	9
162	kinas45y5	9
162	h2p_emrld	9
173	KarlKaek	8
173	rachcl	8
173	lotarp	8
173	fr_ser	8
173	gabriels543	8
173	ooga47	8
173	Rasmanden	8
173	Meepcraft	8
173	ese_wn_po	8
173	Optiprimus	8
173	CACTUSLAD	8
173	scarletwarrior1	8
185	hollowww	7
185	Ryker	7
185	ProfessorBee	7
185	slkiey	7
185	Zythose	7
185	Donutt	7
185	Rebytre	7
185	fxiryglitch	7
185	fkGrim	7
185	Warlord324	7
185	MovingFish7	7
185	Soul_Atreus	7
197	DepressedCubic	6
197	ivorico	6
197	Notta	6
197	Cryptacity	6
197	LotusProject	6
197	eviltunix	6
197	xxPipperDipperxx	6
197	Resner	6
197	eiC_	6
197	platinumzero	6
197	out1s	6
197	_Karmaa	6
197	Steven1282598	6
197	Segotep999	6
197	lcvezra	6
197	JayToe	6
213	Spaghettatron	5
213	Myszoaz	5
213	domagawha	5
213	_naturell	5
213	HolyVenom	5
213	Lord_Jord	5
213	masskedman	5
213	Holden_17	5
213	ItzWqlfy	5
213	Nagasaki_Riku	5
213	stavgod	5
213	KG1999	5
213	_TCARREIRA_	5
213	Skippeh	5
227	_NieToksikpl_	4
227	TheMaster972	4
227	Vizzoid	4
227	NotMeanttoChange	4
227	Covalents	4
227	Gamergirl420628	4
227	mimbo1211	4
227	Marbz_	4
227	RocketRidge	4
227	whoaluv	4
227	AlexChristian	4
227	DarlaMeow	4
227	alddd	4
227	censorsheep	4
227	ItsJWolff	4
227	07shiny	4
227	Kyrum2169	4
227	Luigipunch989	4
245	Louiis123	3
245	ssleepless	3
245	TooManyDuck	3
245	RatatJuice	3
245	awesomeoneme	3
245	gaziter10	3
245	Euclidoris	3
245	Auseawesome	3
245	MindyDooWho	3
245	John6970	3
245	Karetoko	3
245	mariominejedi	3
245	ItsAki_	3
245	ThatMan_Dave	3
245	Xclax101	3
245	TheTommyGun63	3
245	geekbird	3
245	SexcMf	3
245	KingMatthew506	3
245	anbbang	3
245	RadarHz	3
245	OnlyOfficial	3
245	The_SlideV5	3
268	Menthas	2
268	Crowvens	2
268	Drlzyy	2
268	EMC_	2
268	chimpmunker	2
268	xXTheWolfmanXx	2
268	Zlatovlas	2
268	CoffeeNoir	2
268	Simon_Lowell	2
268	NanoShot	2
268	Ravenbie	2
268	Guillemet	2
268	_Nuf	2
268	Lumien_	2
268	set67	2
268	egglapras	2
268	Commander_Ange	2
268	himak1	2
268	SharpDev	2
268	ROY4LE	2
268	trixterrx	2
268	swag_bro2004	2
268	Avermu	2
268	Rocco_Lane	2
268	LilyNova	2
268	NNikitas	2
268	SpaggeDR	2
268	iElijah	2
268	Mattesco	2
268	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
268	Skomo	2
268	KeruNatsema	2
268	Dan_Scha	2
