rank	username	minecraft:used/minecraft:smooth_sandstone_slab
1	500am	6300
2	SvenskaHugo	6103
3	Kim_Jong_eel	3512
4	Wowful	3399
5	Frozil20	3035
6	himak1	2687
7	Creativebuilder2	1847
8	Mahoose	1827
9	Lord_Jord	1562
10	Steelynan	1530
11	WyngGoy	1488
12	FreakGenius	1475
13	Merv__	1390
14	WET_WET_WET	1302
15	mwrty	1265
16	Hyugo	1054
17	TheShyPig	1016
18	RebelAndroid	890
19	Legendosh	883
20	The_Quack_Dealer	798
21	Enderxz3	771
22	IamCL4SSY	737
23	Mr_Byzantine	648
24	2Stout	645
25	Onennon	625
26	CoffeeNoir	563
27	LuvLuvLove	542
28	Soplight	487
29	Cache3	474
30	Groovy_MoonBird	471
31	Sral7	403
32	Blackberry1310	376
33	NameGenerat0r	359
34	Cryptacity	346
35	AspenLightVT	324
36	Buuck_	289
37	Inchef	286
38	TTVB3nzitoOG	259
39	XxCookiequeenxX	214
40	Pumpkin_P_Patch	200
41	_stets	196
42	PlasticOtari	194
43	MattieHD	190
44	__tomato	184
45	rarrq	180
46	EdGalbraith	175
47	CarryLine	174
48	AltnumberF4	169
49	kekhon	168
49	ApophisNova	168
49	MyNamaSheff	168
52	ImpavidArcher	153
53	Werbe	149
54	QuiCreans	145
55	That_tech_head	141
56	MrShojo	138
57	John6970	128
58	shadowthemonkey	122
59	Mattesco	121
60	beeperbeeper5	120
61	Kowcio_	116
62	Arceus1975	114
62	SexcMf	114
64	Inbefour	112
65	luseis	111
66	Snowflowe	105
67	KarlKaek	100
68	goldyx	96
69	noam464	95
70	doublemaki	93
71	eitanzaki	87
72	andy_rex	86
73	joethahobo	80
74	MeowMeowMcmuffin	79
75	Franco093	72
76	PazinGaming	54
77	groofles	52
78	yoyoYoloMonke	51
79	Saucepeh	47
79	milltesco	47
81	pintsizedrogue	40
82	Vizzoid	39
83	TheSecondLord	35
84	Shogunite	33
85	The_slideV3	30
85	KamFurnace	30
87	xXTheWolfmanXx	29
87	peach0s	29
89	Lez_	27
89	Tyrannosplart	27
91	PhantomsGhost_	25
91	Crumbls	25
93	Di_infiri	24
93	TechnoNinja64	24
95	SteveCraftBlocks	18
95	Voxin2K	18
95	ooga47	18
95	duqboy	18
95	JureJurko	18
95	SwooshBoi	18
101	oreee	13
101	Ssor69	13
101	Fullut	13
104	_Huge_Male_	12
104	ElectricDragon81	12
106	craaaash	11
107	Hpdinosaur	10
107	burbankbuilder28	10
107	Vanni9	10
107	jnp_gaming	10
111	EMC_	8
111	Alteriity	8
111	Felenov	8
111	ConnorDanky_	8
115	xzvu	7
116	Secret_Canary	6
116	M_Patata	6
116	MasterNueve	6
119	Kakolbus	5
119	Eczbek	5
121	Manaateee	4
121	cuddlyMonster	4
123	ActualPatbaf	3
123	ShedJr_	3
123	NNikitas	3
123	DarlaMeow	3
123	Blaiku	3
128	shineh10	2
128	Incinere	2
128	Sleepy_Time_	2
128	lordsaladito	2
128	ee_echo_oo	2
128	Hisiste	2
128	Eraxa	2
128	TheKingK_	2
136	Wooptey	1
136	Karetoko	1
136	Jackattack53	1
136	epiksk8erduck	1
136	Akoot_	1
136	MustaLoordi	1
136	blackeemperor	1
136	Spacewardharpy7	1
136	_3Stump_	1
136	Ezekson	1
136	The_SlideV5	1
136	Calbo_	1
