rank	username	minecraft:used/minecraft:waxed_oxidized_cut_copper
1	Mattesco	435
2	Manaateee	323
3	Marbz_	41
4	thewindmillman	8
5	luseis	5
5	Spaghettatron	5
7	Mr_Byzantine	4
8	pintsizedrogue	1
8	skroobiez	1
8	MattieHD	1
8	Eczbek	1
