rank	username	minecraft:used/minecraft:black_terracotta
1	doublemaki	15196
2	Rumpletaezer	7510
3	thewindmillman	6178
4	ConnorDanky_	5435
5	Huwulling	4127
6	joethahobo	3307
7	Crowman1	2444
8	Jimb0nat0r	2266
9	PazinGaming	1954
10	Kowcio_	1574
11	500am	1404
12	Bandito_Roamer	1077
13	TheSecondLord	1064
14	craaaash	987
15	Blu3beast	731
16	Manaateee	638
17	EcksD	617
18	Lez_	605
19	Merv__	519
20	CattSoup	511
21	Kamflame	379
22	KingMatthew506	375
23	SaucyDark	335
24	bl1ss0	325
25	Inchef	307
26	MyNameIsJobo	283
27	mwrty	201
28	MightyWertu	195
29	Yamdalorian	191
30	EMC_	178
31	ZoomieZoomie	165
32	thescout7	144
33	beeperbeeper5	137
34	NameGenerat0r	130
35	RatatJuice	128
36	pintsizedrogue	125
37	Niklas20114552	123
38	Blackberry1310	121
39	xxPipperDipperxx	119
40	oscminus	92
41	Kakolbus	91
42	Frozil20	81
43	Mahoose	78
44	HUNTERmaun	76
45	Awyrlas	73
46	Alteriity	62
47	Werbe	53
48	kekhon	45
49	Zaridey	44
50	Cyanide4Kitten	36
51	MattieHD	35
52	Myszoaz	32
53	Mr_Byzantine	29
54	Sral7	27
55	Mattesco	25
56	Akoot_	24
57	PaperCanvas	23
58	ImpavidArcher	22
58	Inbefour	22
60	XxCookiequeenxX	19
60	Shogunite	19
62	Snowflowe	18
63	2Stout	17
64	eitanzaki	15
65	Hyp3rion_	14
66	PlasticOtari	13
67	milltesco	12
67	Buuck_	12
67	JohnPrice	12
70	_Karmaa	9
70	bloomkieren	9
72	J4k__	8
72	CarryLine	8
72	Deathkob	8
72	ConnorTG5	8
72	Pumpkin_P_Patch	8
77	Notta	7
77	SuperPooch06	7
79	Onennon	6
79	emreknugrlu	6
81	_Huge_Male_	5
81	LexMakesHistory	5
83	catandmoose	4
83	Krowuss	4
83	Dan_Scha	4
86	sp00ky_ghost977	3
87	ItsGrayWolf	2
87	AuroraValkyrie	2
87	Batman922	2
87	12Magner05	2
87	TheShyPig	2
87	Typadopoulos	2
87	ItsDeltaMC	2
87	MilleGrug	2
87	EngagedGrub41	2
96	titanlax	1
96	i2f8x4h8ro	1
96	gcaisawesome	1
96	noam464	1
96	ee_echo_oo	1
96	OreTheBear	1
96	ooga47	1
96	Spacewardharpy7	1
96	jcool7	1
96	Enderxz3	1
96	TechnoNinja64	1
