rank	username	minecraft:used/minecraft:black_carpet
1	YungMaki	113242
2	joethahobo	63071
3	kekhon	39944
4	noam464	26852
5	thewindmillman	24413
6	Hermanni__	16915
7	EcksD	16404
8	Blaiku	12385
9	Smoke____	8214
10	jnp_gaming	7786
11	Rumpletaezer	6986
12	Hyp3rion_	3959
13	eitanzaki	3513
14	PigDab	3176
15	Freak_Genius	3122
16	HellsSponge	2963
17	mwrty	2791
18	TheShyPig	2674
19	Quaintster	2580
20	heckface	2373
21	beeperbeeper5	1927
22	Swexti	1494
23	Spacewardharpy7	1355
24	Kowcio_	1098
25	Snowflowe	1079
26	rarrq	1030
27	oxfordschool	1003
28	bigstankyy	830
29	SaucyDark	800
30	500am	780
31	TheSecondLord	660
32	burbankbuilder28	607
33	Racengan	560
34	himak1	537
35	titanlax	450
36	Eraxa	389
37	RebelAndroid	387
38	Sky_light_KING	368
39	Werbe	363
39	AssEatrAndLicker	363
41	thescout7	360
42	Lord_Jord	353
43	bloodbiter	352
44	sebastiensaborio	338
45	Mahoose	304
46	Di_infiri	256
47	cichy096	239
48	PlzNoBM	216
49	El_Jalapeno	194
50	fluddd	177
51	__tomato	169
52	Kubeusz2010	168
53	Inbefour	151
54	Merv__	129
55	Soplight	111
56	ProfessorBee	104
56	NameGenerat0r	104
58	H72l9w	101
59	gcaisawesome	95
59	Legendosh	95
61	cedric72	93
62	Akoot_	89
63	pintsizedrogue	82
64	lcvezra	81
65	emrekn	78
65	Onennon	78
67	Leyna3	77
68	Sleek_Storm_721	74
69	Skylord_Luke	73
70	Njensen7	66
71	Factoroni	57
72	Dedalus36	56
73	Reamdin	55
73	Blackberry1310	55
73	Enderslayerxz3	55
76	Blu3beast	54
77	stavgod	52
78	Wowful	50
79	Meatlaugh	49
80	r123moore	48
80	Ezekson	48
82	lillips	47
83	UrbanPlanner1978	46
84	SuperPooch06	42
85	Kubelz	41
85	GlitchyPlate810	41
87	gabriels543	40
88	Fullut	38
88	Warlord324	38
90	m_be9	36
91	squigglybones	35
91	dabloons	35
93	xxPipperDipperxx	33
94	KlausVonStiglitz	32
95	FelixPSY375	30
96	Sral7	29
97	MakeHistory157	26
97	TechnoNinja64	26
99	Groovy_MoonBird	25
100	420BreadLizard	24
101	__Fanda__	21
102	6king6colt6	19
103	ImpavidArcher	16
104	Incinere	15
105	Tolhart	13
105	CalebDHawk	13
107	BobDeBouwer1337	12
108	pixelviolin	11
109	chipklip	10
109	DemTechAlpha	10
109	lordpipe	10
109	Winston_Ingram	10
109	Quotary	10
114	TheDiamondCG	9
114	_Karmaa	9
114	Shogunite	9
117	teslawolf38	8
117	NinjaKnifeKill	8
117	Ssor69	8
117	Winklepicker279	8
121	ReyTheLegend	7
121	PortlyPete69	7
121	obzii	7
124	AuroraValkyrie	6
124	Cryptacity	6
124	Gryglu583	6
124	starbits140	6
124	Spenduh	6
129	ShedJr_	5
129	SquadMonster	5
129	SteveCraftBlocks	5
129	LilLizardWizard	5
129	_3Stump_	5
129	smogfrog	5
135	intropass	4
135	claivin	4
137	KarlKaek	3
137	error10101	3
137	MinttyFressh	3
137	NoxxxxiS	3
137	Covalents	3
137	TheDankPlatypus	3
137	Chromary	3
137	NomadicRobin_	3
137	_Bguette_	3
137	LordSpeed37	3
137	AssFullaCum	3
137	djancak	3
137	OfficerAnvil	3
137	EcksDofficial	3
151	xyct	2
151	RyuTurtle	2
151	Hysna	2
151	eclipseboi	2
151	Zaridey	2
151	08061945	2
151	fr_ser	2
151	Jackattack53	2
151	Bumpy419	2
151	CaptainDeadBread	2
151	CruncyIsTaken	2
151	OtariCharlie	2
151	XxCookiequeenxX	2
151	Dogcorn69420	2
151	MilleGrug	2
166	PhantomsGhost_	1
166	_stets	1
166	Foof13	1
166	numbra	1
166	Hpdinosaur	1
166	FS0L0	1
166	picardred	1
166	YungJakobo	1
166	Moyd_	1
166	Cambo5000	1
166	set67	1
166	Inchef	1
166	LittleIan365	1
166	tobinwilliams	1
166	HAIRYCLOUD626	1
166	_naturell	1
166	KeruNatsema	1
166	Klerick	1
166	Leonidas2k17	1
166	yulgur1	1
166	masskedman	1
166	EveryonesUncle	1
166	Deathkob	1
166	501g	1
166	C0oOK13M0N5T3R	1
166	Frozil12	1
166	WyngGoy	1
166	Ze_BaronKrigler	1
166	SammiWolfGirl	1
166	KingMatthew506	1
166	MJgaming_	1
