rank	username	minecraft:used/minecraft:light_weighted_pressure_plate
1	Kowcio_	3109
2	Hyp3rion_	1106
3	YungMaki	527
4	thewindmillman	217
5	NameGenerat0r	191
6	Smoke____	43
7	Frozil20	41
8	ProbsNotNova	34
9	TheShyPig	27
10	Jovaphobic	21
11	thescout7	18
12	Kynigito	17
13	Mahoose	15
14	HellsSponge	14
15	Soplight	13
16	Jackattack53	12
17	Onennon	11
17	oxfordschool	11
17	cichy096	11
20	wwwwinnebagoooo	9
21	Ze_BaronKrigler	7
22	Bandito_Roamer	6
22	fade_emerge78823	6
22	Akoot_	6
25	Sleek_Storm_721	5
25	12Magner05	5
25	mwrty	5
25	censorsheep	5
29	SaucyDark	4
29	Cryptacity	4
29	noam464	4
29	valkam13	4
29	Spacewardharpy7	4
29	Eraxa	4
29	Kubeusz2010	4
36	Kubelz	3
36	pixelviolin	3
36	Njensen7	3
39	dabloons	2
39	Historical_Sand	2
39	Mewar	2
39	domagawha	2
39	Bumpy419	2
39	NomadicRobin_	2
39	DanTheBuilderino	2
39	OG_Songsee	2
39	SvenskaHugo	2
48	_Virify_	1
48	nataliecool	1
48	SlowMoNinja1994	1
48	Gundam_Steven	1
48	Huwulling	1
48	ivorico	1
48	fr0stss	1
48	urbeans	1
48	ABUSNA1996	1
48	kekhon	1
48	DarkDescent2392	1
48	ROY4LE	1
48	r123moore	1
48	Bazongoman	1
48	Di_infiri	1
48	Parcc	1
48	DAD_1996	1
48	Werbe	1
48	Leyna3	1
48	audiocracked	1
48	avalan64	1
48	1442	1
48	Quincannon	1
48	Hisiste	1
48	MovingFish7	1
48	sp00ky_ghost977	1
48	Hermanni__	1
48	EcksD	1
48	JayToe	1
