rank	username	minecraft:used/minecraft:spruce_hanging_sign
1	Buuck_	224
2	Spaghettatron	39
3	Enderxz3	36
4	Merv__	33
5	craaaash	24
6	milltesco	22
7	TheWickedBird	19
8	Mattesco	12
8	Moofyman	12
10	SnowfallUwU	8
10	DisgruntledKoala	8
12	SpacesickPrism	7
13	hanaryheatwave	6
13	Paul_Katan	6
15	Huwulling	5
15	thebaddruid	5
17	Mr_Byzantine	4
17	TheSecondLord	4
17	bl1ss0	4
17	Pumpkin_P_Patch	4
17	Soplight	4
22	PazinGaming	3
22	MyMawgDonaldsGon	3
22	cutelilreno	3
25	FiguraDei	2
25	pixelviolin	2
27	j5ylim	1
27	reddeeem	1
27	ZaneABrain	1
27	12Magner05	1
27	MattieHD	1
27	Samificator	1
27	pennyswan	1
27	00000000-0000-0000-0009-01fe065167f0	1
