rank	username	minecraft:used/minecraft:chiseled_stone_bricks
1	beeperbeeper5	10266
2	Blu3beast	5776
3	TheShyPig	5152
4	joethahobo	3720
5	Smoke____	3201
6	RoskobiOne	2692
7	EveryonesUncle	2565
8	Xclax101	2533
9	Shogunite	2453
10	cog	2440
11	El_Jalapeno	2152
12	Hisiste	1743
13	madderfall	1442
14	Lord_Jord	1057
15	dudcreeper	1051
16	GooseWithin	1036
17	M_Patata	1009
18	MasterNueve	1003
19	Frozil20	989
20	Ezekson	979
21	m_be9	961
22	lcvezra	888
23	Lez_	817
24	Legendosh	813
25	calamariclam_I	796
26	VentiHilton	791
27	Kakolbus	761
28	MinttyFressh	697
29	Cortexia	664
30	eitanzaki	616
31	benediktine1	608
32	kekhon	606
33	Maenara	594
34	diamondgolem35	573
35	mihimihimihi	566
36	Di_infiri	532
37	Kubelz	530
38	Winklepicker279	528
39	Megarboh	495
40	ProfessorBee	486
41	Jeteight	474
42	TechnoNinja64	459
43	SmashingPump	443
44	Comma__	441
45	Typadopoulos	437
46	Alteriity	430
46	TheSecondLord	430
48	Jovaphobic	426
49	FreakGenius	408
50	xolstoi	405
51	DemTechAlpha	395
52	ROY4LE	391
53	rarrq	376
54	Kowcio_	374
55	Tyrannosplart	362
56	fade_emerge78823	326
57	pumpfonzo	309
58	Z3braYTIL	296
59	OfficerAnvil	294
59	Nicserso	294
61	MattieHD	292
61	Wolverine4302	292
63	lordpipe	287
64	Gundam_Steven	286
65	stavgod	282
66	PlasticOtari	272
67	Toiton	267
68	K_a__a_n	265
69	Werbe	263
70	Jokerman369	250
71	_stets	245
72	SyK7	241
73	Natty	236
74	Doom_melon	225
74	Leithz6	225
76	titanlax	221
77	thescout7	219
78	himak1	217
79	seramalen	215
80	Quincannon	201
81	AlexxO_o	194
82	BlueZabu	192
83	YungMaki	184
83	GlitchyPlate810	184
85	RefluxRatio	182
86	ShedJr_	179
87	SquadMonster	178
88	CaptainDeadBread	173
89	StinkyDiplomat	163
90	Kubeusz2010	159
91	Rumpletaezer	158
92	Inbefour	154
93	burbankbuilder28	151
93	EcksD	151
93	00000000-0000-0000-0009-01ff0c3e5e4f	151
96	07shiny	133
97	Mewar	130
98	Skylord_Luke	129
98	DC_XII	129
100	OG_Songsee	121
100	PncakeUniverse	121
102	TooManyDuck	120
103	Da_Boss_Rani	118
104	CattSoup	111
105	HELLO_I_AM_BEAR	110
106	xxPipperDipperxx	107
106	killmeiamtraitor	107
108	12Magner05	105
109	pintsizedrogue	102
110	Mahoose	101
111	_Dean_123	100
112	ApophisNova	98
112	MyNamaSheff	98
114	noam464	92
115	Mookle96	88
116	Fuhrer_Teemo	86
117	Akoot_	85
117	Skippeh	85
119	ConnorDanky_	82
120	ThePoliteG	81
121	Toasty_Tom	80
122	Tobinator_007	79
122	_Boipl_	79
122	pappaberg	79
125	LordSpeed37	78
126	Kamflame10	77
126	NameGenerat0r	77
126	Warlord324	77
129	FlashMigma	76
130	ganyuganyu	75
131	Myszoaz	74
132	NoxxxxiS	73
133	Chromary	71
134	FennYuzuna	70
135	paranoid_plant	69
136	Cavetorch	68
137	platinumzero	66
138	Leyna3	65
138	Racengan	65
140	the_fireminer	64
140	Alphanzt99	64
142	Snowflowe	63
142	RyuNeko932000	63
144	lorpus	61
145	Arceus1975	60
146	Sral7	59
147	T045RTY	58
148	Karetoko	56
148	impossibleteapot	56
150	DinoDoctor_	53
150	ImpavidArcher	53
152	Deathkob	52
152	The_slideV3	52
154	__tomato	51
154	Soplight	51
156	Froste131	50
156	Huwulling	50
158	Dusk_95	49
159	SingedBread	46
160	SuperPooch06	45
160	CLUBN2	45
160	SpacesickPrism	45
163	KlausVonStiglitz	43
163	Kijiki	43
165	Ozixar	42
165	CollinMH06	42
165	DAD_1996	42
165	RoofTyler	42
169	Kferno	40
170	Merv__	39
170	Donutt	39
170	BreadBacon	39
173	500am	38
174	Incinere	37
175	binman420	35
175	pixelviolin	35
177	wrinkledpiglet	34
177	Smiguli_	34
179	Hormones	33
179	Crowman1	33
179	purpolepickle	33
182	BlankityMcBlank	32
183	Blackberry1310	31
183	Guillemet	31
185	BodaciousCake	29
185	gabriels543	29
185	kairosIV	29
185	HellsSponge	29
185	cichy096	29
190	Giannism	27
190	parodypatient	27
190	Dogcorn69420	27
193	Ailmast	26
193	G1ldor	26
193	thewindmillman	26
193	Kura2218	26
193	SunsetwolfGG	26
198	brycepants	25
199	F_Uhre	24
200	NotMeanttoChange	23
201	crying_wolf_13	21
201	Jackattack53	21
201	Steelynan	21
204	Tolhart	20
204	Wooptey	20
204	AlazelTheReal	20
204	PortlyPete69	20
208	epiksk8erduck	19
208	_Karmaa	19
208	SkateboardR6	19
211	6king6colt6	17
211	Nicky_H225	17
211	dendydoom	17
211	SSytex_X	17
215	UncreativeArtist	16
215	bearlystraight	16
215	natajimi	16
215	fluddd	16
215	MightyWertu	16
220	shdesolt	15
220	ooga47	15
220	luseis	15
223	RustyKedel	14
223	IamCL4SSY	14
225	_Virify_	13
225	Vizzoid	13
225	Soap_Bender	13
225	claivin	13
225	The_SlideV5	13
230	Onennon	12
230	BumbleBeever	12
230	2bolx_	12
233	MOSS000	11
233	UncleDanDan	11
233	wobn	11
233	Enderxz3	11
237	noodlepack	10
237	Fullut	10
237	prizm_	10
237	Bazongoman	10
237	MyNameIsJobo	10
237	LexMakesHistory	10
243	MrExplorer	9
243	Blaiku	9
243	ZoomieZoomie	9
246	Bandito_Roamer	8
246	JohnnyMines	8
246	Ardennes	8
246	420BreadLizard	8
246	DASH_X7	8
246	UCP_TheKingK	8
246	alderban107	8
253	kars0n	7
253	Mr_Sun15	7
253	avalan64	7
253	Godspirit249	7
253	LetsDoItLive	7
253	MineMaster0012	7
253	EngagedGrub41	7
253	Quotary	7
261	BPTY4618	6
261	soundad	6
261	Smashic	6
261	FishyBoy3811	6
261	SaintJosie	6
261	DarlaMeow	6
261	Eraxa	6
261	Zetsey	6
269	fr0stss	5
269	legal_tax_evader	5
269	RobotMinion101	5
269	cedric72	5
269	MonitorLizards	5
269	ADEXTV	5
269	fkGrim	5
269	Factoroni	5
277	Groovy_MoonBird	4
277	_Huge_Male_	4
277	TheThomas69	4
277	Kkanot	4
277	Inchef	4
277	Fuad_R	4
277	tsitrawhy	4
277	stellarjay	4
277	CalebDHawk	4
277	Eczbek	4
277	RoboTramp7865	4
277	bladeefan2009	4
277	trexgb	4
290	FazeObama69	3
290	Sabby65	3
290	PegLegPete93	3
290	GreedyFern8581	3
290	AnnieBathory	3
290	Smussa	3
290	Moofyman	3
290	J4ko8_	3
290	JESS_THE_RERE	3
290	MyNameIsDakar	3
290	Jamstroxian	3
