rank	username	minecraft:used/minecraft:copper_block
1	pintsizedrogue	1533
2	500am	879
3	thewindmillman	842
4	sebastiensaborio	395
5	OtariCharlie	375
6	diamondgolem35	195
7	Smoke____	165
8	CoffeeNoir	119
9	sp00ky_ghost977	66
10	mobunni	49
11	SuperPooch06	45
12	Enigma0251	42
13	12Magner05	38
14	Soplight	37
15	Spacewardharpy7	21
16	MinttyFressh	20
17	EcksD	17
17	RadarHz	17
19	SingedBread	11
19	Enderslayerxz3	11
21	EveryonesUncle	9
22	TheSecondLord	8
23	Miko_Fullbuster	7
24	Winklepicker279	6
24	HolyVenom	6
24	Freak_Genius	6
27	Deathkob	5
28	GlitchyPlate810	4
29	SteveCraftBlocks	3
30	Myszoaz	2
30	beeperbeeper5	2
30	noam464	2
30	Frozil12	2
30	Vegvisir	2
35	Merv__	1
35	Kakolbus	1
35	ApophisNova	1
35	Xi_J1nping	1
35	MyNamaSheff	1
