rank	username	minecraft:used/minecraft:filled_map
1	Merv__	112
2	beeperbeeper5	84
3	pintsizedrogue	57
4	MattieHD	54
5	TechnoNinja64	41
6	Enderxz3	40
7	Creativebuilder2	39
8	HellsSponge	31
9	ShedJr_	20
10	Skylord_Luke	17
11	SteveCraftBlocks	15
12	m_be9	14
12	Onennon	14
14	EveryonesUncle	11
15	Smashic	9
15	Manaateee	9
17	fluddd	8
18	epiksk8erduck	7
18	EcksD	7
20	Ryan_GEMS	6
20	RustyKedel	6
22	DSYisDizzy	5
22	crashomon	5
22	Rumpletaezer	5
22	Kowcio_	5
26	Reneedium	4
26	TheShyPig	4
26	Ezekson	4
29	Lez_	3
29	12Magner05	3
29	Mattesco	3
29	PlasticOtari	3
33	MrExplorer	2
33	Jackattack53	2
35	Mahoose	1
35	joethahobo	1
35	FirsTimeGamingTV	1
35	hijeatsdirt	1
35	ROY4LE	1
35	Akoot_	1
35	Xclax101	1
35	__tomato	1
