rank	username	minecraft:used/minecraft:large_amethyst_bud
1	thewindmillman	88
2	TheSecondLord	80
3	Mahoose	78
4	Mattesco	19
5	pintsizedrogue	14
6	RebelAndroid	13
6	Kakolbus	13
8	diamondgolem35	9
8	12Magner05	9
10	Hyp3rion_	7
11	Lez_	6
11	SingedBread	6
13	RatatJuice	4
13	Manaateee	4
13	Enderxz3	4
16	Apollo_993	3
16	ApophisNova	3
16	MyNamaSheff	3
16	AdmiralSmoke	3
20	Flores991	2
20	Smashic	2
20	noam464	2
20	PaperCanvas	2
20	luseis	2
20	PlasticOtari	2
26	SmashingPump	1
26	Alteriity	1
26	ITDV	1
26	jessewegottacook	1
26	MattieHD	1
26	Marbz_	1
26	Jackattack53	1
26	Arceus1975	1
26	dartwaffle	1
26	wwwwinnebagoooo	1
26	TheBananaKat	1
26	EcksD	1
