rank	username	minecraft:used/minecraft:brown_glazed_terracotta
1	titanlax	263
2	Merv__	254
3	Frozil12	245
4	TheShyPig	235
5	Inbefour	170
6	Soplight	161
7	lordpipe	96
8	MunkaKris	73
9	sebastiensaborio	61
10	YungMaki	54
11	MyNameIsJobo	52
12	MakeHistory157	48
13	djancak	40
14	kekhon	30
15	Hiryu27	24
16	BodaciousCake	19
17	Di_infiri	18
18	Inchef	17
19	Groovy_MoonBird	14
20	Werbe	12
20	AssEatrAndLicker	12
22	Eraxa	11
23	audiocracked	9
24	joethahobo	7
24	Smoke____	7
26	_Virify_	6
26	El_Jalapeno	6
28	thescout7	5
28	Jiminie	5
28	Babushka0430	5
31	Sabby65	3
31	Akoot_	3
33	noam464	2
33	_Bguette_	2
35	Bandito_Roamer	1
35	ImpavidArcher	1
35	eitanzaki	1
35	sp00ky_ghost977	1
35	KingMatthew506	1
35	oxfordschool	1
