rank	username	minecraft:used/minecraft:pufferfish_bucket
1	Ezekson	140
2	egglapras	96
3	thewindmillman	40
4	noam464	30
5	Blackberry1310	25
6	Skippeh	22
7	kekhon	19
8	PhantomsGhost_	15
8	Onennon	15
10	Historical_Sand	14
10	MovingFish7	14
12	Quotary	13
13	pintsizedrogue	12
14	heckface	10
14	YungMaki	10
14	Zoeyfortnite	10
17	ImpavidArcher	9
17	ProbsNotNova	9
19	TheSecondLord	8
19	12Magner05	8
19	HellsSponge	8
22	rarrq	7
22	Akoot_	7
22	SammiWolfGirl	7
22	LeeMcGee30	7
22	Smoke____	7
27	surfinggiraffejp	6
27	TheShyPig	6
27	jacobsoy	6
27	HesDemonPants	6
27	EcksDofficial	6
32	Bandito_Roamer	5
32	Da_Boss_Rani	5
32	pumpfonzo	5
32	claivin	5
32	Soplight	5
32	stahouo	5
32	GlitchyPlate810	5
32	Enderslayerxz3	5
40	SaucyDark	4
40	joethahobo	4
40	Kakolbus	4
40	Arceus1975	4
40	chipklip	4
40	Frozil12	4
40	PortlyPete69	4
47	Merv__	3
47	Mahoose	3
47	tsohomie	3
47	bloodbiter	3
47	500am	3
47	Fullut	3
47	_Boipl_	3
47	Voxin2K	3
47	ooga47	3
47	_Karmaa	3
47	Th6masss	3
47	lordpipe	3
47	KingMatthew506	3
47	Steelynan	3
47	oxfordschool	3
62	squigglybones	2
62	Paleshield	2
62	eitanzaki	2
62	maliraspberry	2
62	beeperbeeper5	2
62	Ssor69	2
62	Ardennes	2
62	Xalithia	2
62	2Stout	2
62	M_Patata	2
62	fallingemma	2
62	CarltheCuck	2
62	Jackattack53	2
62	SuperPooch06	2
62	Rebytre	2
62	Maenara	2
62	AuroraSkies	2
62	SpookyDraggin	2
62	Wowful	2
62	Jiminbub	2
62	Lutres_Torane	2
62	DarlaMeow	2
62	El_Jalapeno	2
62	Blu3beast	2
62	Dusk_95	2
62	MasterNueve	2
62	TechnoNinja64	2
89	1ochi	1
89	abramgray	1
89	6king6colt6	1
89	Sleek_Storm_721	1
89	I_Am_Mushkin	1
89	itburb	1
89	hm947	1
89	ShedJr_	1
89	IWorkAtIkea	1
89	oreee	1
89	nocturne78	1
89	Shadoko_	1
89	Inchef	1
89	ROY4LE	1
89	xxPipperDipperxx	1
89	Zaridey	1
89	Doom_melon	1
89	Rumpletaezer	1
89	Hyp3rion_	1
89	ApophisNova	1
89	Werbe	1
89	_Cloverbelle_	1
89	KeruNatsema	1
89	TJawesome09	1
89	Inbefour	1
89	EveryonesUncle	1
89	fkGrim	1
89	KlausVonStiglitz	1
89	MinuteMira	1
89	NameGenerat0r	1
89	QueenShuvi	1
89	Xclax101	1
89	TheEnderman548	1
89	__tomato	1
89	Fizznut909	1
89	jcool7	1
89	MyNamaSheff	1
89	Nicserso	1
89	Wolverine4302	1
