rank	username	minecraft:used/minecraft:light_blue_wool
1	mariominejedi	10398
2	joethahobo	8012
3	YungMaki	3432
4	DarlaMeow	2645
5	kekhon	2023
6	Spenduh	1729
7	PeteO1995	1612
8	Hyp3rion_	1414
9	oxfordschool	1185
10	Smoke____	1108
11	NameGenerat0r	1089
12	12Magner05	1080
13	ShedJr_	1078
14	rarrq	1001
15	Di_infiri	965
16	KingMatthew506	850
17	Frozil12	846
18	eitanzaki	765
19	Werbe	737
20	2blox	696
21	thewindmillman	648
22	seanitoo	612
23	lordpipe	599
24	Blackberry1310	452
25	Sral7	441
26	Ezekson	426
27	Wooptey	413
27	Tjhodskins19	413
29	Xclax101	313
30	TheShyPig	307
31	Hoid_the_Roamer	278
32	beeperbeeper5	267
33	xxPipperDipperxx	260
34	Nostrom	255
35	bigstankyy	253
36	HellsSponge	243
37	Motsaro	210
38	nataliecool	199
39	EcksDofficial	194
40	Eraxa	181
41	Fullut	166
42	kinas45y5	161
43	PortlyPete69	150
44	FishyBoy3811	137
45	SoftSix	132
46	TechnoNinja64	131
47	fw3xywashere	128
48	Hermanni__	117
49	mwrty	112
49	Lord_Jord	112
51	Winston_Ingram	110
52	Bumpy419	99
53	PlzNoBM	98
54	fkGrim	91
55	Mahoose	90
56	noam464	87
56	Chromary	87
58	Soplight	70
59	TheSecondLord	61
60	The_SlideV5	54
61	pr33tu	51
62	BlankityMcBlank	43
63	500am	35
64	EveryonesUncle	32
65	Legendosh	29
66	Leonidas2k17	28
67	RebelAndroid	27
68	Smashic	26
69	CruncyIsTaken	25
69	Quotary	25
71	MattieHD	22
72	Spacewardharpy7	21
73	Akoot_	20
73	Blaiku	20
73	Kiki_Majiki	20
76	fffMike	19
77	pintsizedrogue	18
77	LilLizardWizard	18
79	nocturne78	17
79	ese_wn_po	17
79	MakeHistory157	17
82	Merv__	16
83	Gundam_Steven	15
83	titanlax	15
83	Covalents	15
86	heckface	14
86	El_Jalapeno	14
86	LordSpeed37	14
89	EcksD	10
90	InfernalMound	9
91	Jackattack53	8
92	Incinere	7
92	Skomo	7
92	chipklip	7
95	Snowflowe	6
95	burbankbuilder28	6
95	Sheldor097	6
98	rats_life	4
98	6king6colt6	4
98	hzs91	4
98	proxivitoid	4
98	Steelynan	4
103	diamondgolem35	3
103	Inbefour	3
103	Blu3beast	3
103	Enderslayerxz3	3
107	ProbablyNick	2
107	dabloons	2
107	Franco093	2
107	Myszoaz	2
107	fr_ser	2
107	gabriels543	2
107	kars0n	2
107	ooga47	2
107	lillips	2
107	Groundler	2
107	RoboTramp7865	2
118	JohnnyFyes	1
118	teslawolf38	1
118	q_wq	1
118	SaucyDark	1
118	Reamdin	1
118	Valoth	1
118	_Dean_123	1
118	egglapras	1
118	r123moore	1
118	AJplaysMC_	1
118	WET_WET_WET	1
118	Arceus1975	1
118	Zythose	1
118	ChocolatePepsi	1
118	sadvavilloso	1
118	Kowcio_	1
118	stahouo	1
118	Dogcorn69420	1
