rank	username	minecraft:used/minecraft:fire_coral
1	Di_infiri	56
2	Hyp3rion_	38
3	12Magner05	26
4	Merv__	24
5	beeperbeeper5	19
5	MattieHD	19
5	_Dean_123	19
8	pintsizedrogue	12
8	Fullut	12
8	__tomato	12
11	Blackberry1310	11
12	TheShyPig	10
13	HellsSponge	9
14	AuroraValkyrie	8
14	MyNameIsJobo	8
14	ApophisNova	8
14	MyNamaSheff	8
18	Alteriity	7
18	AspenLightVT	7
18	The_slideV3	7
21	ImpavidArcher	6
21	Lez_	6
21	Xalithia	6
21	lordpipe	6
21	YungMaki	6
26	SaucyDark	5
26	KingMatthew506	5
28	Bandito_Roamer	4
28	Archsam	4
28	titanlax	4
28	kekhon	4
28	Jackattack53	4
28	luseis	4
28	Xclax101	4
35	bigstankyy	3
35	BodaciousCake	3
35	Mahoose	3
35	500am	3
35	Kakolbus	3
35	Bumpy419	3
35	Inbefour	3
35	iSammael	3
35	Kowcio_	3
35	Steelynan	3
35	Quotary	3
46	IWorkAtIkea	2
46	TheSecondLord	2
46	emrekn	2
46	Inchef	2
46	Marbz_	2
46	Rumpletaezer	2
46	Arceus1975	2
46	aec9	2
46	Maenara	2
46	XxCookiequeenxX	2
46	fkGrim	2
46	Blaiku	2
46	mihimihimihi	2
46	Druid95	2
46	33sudo	2
46	pixelviolin	2
46	Legendosh	2
46	Powowowow	2
46	Jimb0nat0r	2
46	Yamdalorian	2
46	TheWickedBird	2
46	diggydog67	2
68	Niklas20114552	1
68	skroobiez	1
68	Ssor69	1
68	eclipseboi	1
68	TheDankPlatypus	1
68	burbankbuilder28	1
68	Krowuss	1
68	RebytreGT	1
68	Voxin2K	1
68	Onennon	1
68	F_Uhre	1
68	Akoot_	1
68	GooseWithin	1
68	audiocracked	1
68	KlausVonStiglitz	1
68	Manaateee	1
68	Blu3beast	1
68	Soplight	1
68	miramyu	1
68	SpacesickPrism	1
68	ConnorDanky_	1
68	Nicserso	1
68	jnp_gaming	1
68	PlasticOtari	1
