rank	username	minecraft:used/minecraft:spyglass
1	Mahoose	15312
2	Blackberry1310	5566
3	Eczbek	3849
4	500am	3616
5	Akoot_	3096
6	kekhon	2478
7	Frozil12	1968
8	_Dean_123	1866
9	eitanzaki	1855
10	fluddd	1686
11	SuperPooch06	1432
12	RoskobiOne	1323
13	Soplight	1120
14	Jackattack53	1041
15	NomadicRobin_	887
16	Inchef	847
17	Smoke____	721
18	12Magner05	585
19	ImpavidArcher	469
20	rarrq	378
21	lillips	351
22	Deathkob	343
23	WYFYoyo	323
24	CoffeeNoir	296
25	ApophisNova	290
25	MyNamaSheff	290
27	egglapras	281
28	beeperbeeper5	275
29	joethahobo	269
30	noam464	232
31	TheSecondLord	230
32	IDealess_At_This	229
33	regulator75	226
34	hm947	218
35	MilleGrug	216
36	pintsizedrogue	212
37	Kakolbus	203
38	Xalithia	186
39	KarlKaek	154
40	thewindmillman	148
41	mobunni	138
42	PlasticOtari	136
43	Spaghettatron	130
44	jcool7	122
45	Merv__	119
46	TheDankPlatypus	102
47	YungMaki	98
48	Winklepicker279	95
49	TAKrules	91
50	_Boipl_	87
51	sebastiensaborio	76
52	Hylo482y	73
53	Legendosh	71
54	Mr_Byzantine	66
55	SvenskaHugo	65
56	Enderslayerxz3	61
57	Blu3beast	54
58	CarryLine	46
59	majlin16	45
60	EveryonesUncle	42
61	CharlieButt	39
62	orxngejuice	38
63	Freak_Genius	35
64	momis24	33
65	Toriankel	31
66	smarticuno	29
67	Hyp3rion_	28
67	Racengan	28
69	MAns_44	27
70	KG1999	25
71	tsitrawhy	24
72	Ezekson	16
73	Flores991	15
73	SteveCraftBlocks	15
75	ImScootronic	14
76	secondstepsis	11
77	Eraxa	10
78	TerraVl	9
78	Xi_J1nping	9
80	CrateOfBoxes	8
81	Mattesco	7
81	AltnumberF4	7
83	Lutres_Torane	6
84	BurgerKnight	5
85	Lumien_	3
85	Awyrlas	3
85	lordpipe	3
85	ItsDeltaMC	3
85	Skippeh	3
85	2blox	3
91	Khelvoryk	2
91	CalebDHawk	2
93	Drlzyy	1
93	mrnosetackle	1
93	Not_Insom	1
