rank	username	minecraft:used/minecraft:pink_dye
1	pretty_pink_reno	32
2	q_wq	13
3	PlasticOtari	12
4	Hyp3rion_	10
5	pintsizedrogue	9
5	lordpipe	9
7	Sleepy_Evelyn	7
8	Archsam	5
8	TheSecondLord	5
8	Kowcio_	5
11	Crowman1	4
11	Skylord_Luke	4
13	Mattesco	3
13	PaperCanvas	3
15	beeperbeeper5	2
15	KeruNatsema	2
15	EdGalbraith	2
18	Mr_Byzantine	1
18	SOA1RR	1
18	Huwulling	1
18	CaracolCxnt	1
18	12Magner05	1
18	bl1ss0	1
18	Olib3ar	1
18	420BreadLizard	1
18	StinkyDiplomat	1
18	MAns_44	1
18	Pumpkin_P_Patch	1
18	TheWickedBird	1
18	00000000-0000-0000-0009-01f3e0064b49	1
