rank	username	minecraft:used/minecraft:nether_brick_wall
1	BobDeBouwer1337	1836
2	Kakolbus	560
3	HellsSponge	362
4	beeperbeeper5	284
5	TheBiggestFeller	253
6	m_be9	222
7	Cowison	211
8	DermeinUser	186
9	dudcreeper	174
10	Eraxa	158
11	PigDab	155
12	Smoke____	148
13	Kynigito	140
14	YungMaki	136
15	jacxhadow	123
16	yulgur1	116
17	Mahoose	107
18	TheShyPig	72
19	ooga47	58
20	groofles	57
21	TheSecondLord	56
22	Maenara	53
23	eitanzaki	47
24	Bandito_Roamer	45
25	Merv__	41
26	FlashMigma	40
27	GlitchyPlate810	37
28	burbankbuilder28	35
29	Dooinfe	34
30	noam464	32
31	Biites	30
32	PlasticOtari	29
33	Shogunite	27
34	anbbang	15
35	kekhon	14
35	Bumpy419	14
37	teslawolf38	13
37	RoofTyler	13
39	pintsizedrogue	12
39	2Stout	12
39	ADEXTV	12
42	lordpipe	9
42	RealGroot	9
42	MrMeisterProper	9
45	500am	8
45	mwrty	8
45	luseis	8
48	EveryonesUncle	7
49	Secret_Canary	6
49	xxPipperDipperxx	6
51	Frozil20	5
51	Reamdin	5
51	FreakGenius	5
51	Sheldor097	5
55	ciemacigans	4
55	Felenov	4
55	kyouma777	4
58	MyNameIsJobo	3
58	TheEnderMan548	3
58	meilivHD	3
58	TechnoNinja64	3
62	ShedJr_	2
62	rarrq	2
62	SuperPooch06	2
62	Blaiku	2
62	Racengan	2
62	BlankityMcBlank	2
62	Soplight	2
62	bladeefan2009	2
70	Groovy_MoonBird	1
70	Mr_Byzantine	1
70	Incinere	1
70	Stynxy	1
70	Ardennes	1
70	Pelbo	1
70	NotTrixi	1
70	ROY4LE	1
70	thewindmillman	1
70	RobotMinion101	1
70	Deathkob	1
70	Spacewardharpy7	1
70	Dusk_95	1
70	WyngGoy	1
70	xzvu	1
70	Kubeusz2010	1
