rank	username	minecraft:used/minecraft:end_crystal
1	Segotep999	52
2	Jackattack53	48
3	Tyrannosplart	40
4	oscminus	39
4	claivin	39
6	xzvu	37
7	diamondgolem35	28
8	rarrq	27
8	AdmiralSmoke	27
10	Mahoose	26
10	beeperbeeper5	26
10	__tomato	26
13	TheSecondLord	25
14	Inchef	24
15	33sudo	23
16	eitanzaki	21
16	Eraxa	21
18	ImpavidArcher	19
18	Lez_	19
20	h2p_emrld	18
21	NameGenerat0r	17
21	_Mythic____	17
23	Wowful	16
24	noam464	13
24	Hyp3rion_	13
24	Cocoamallows	13
24	jnp_gaming	13
28	KomputerDude	12
28	MattieHD	12
28	mwrty	12
28	HellsSponge	12
28	Blu3beast	12
28	MightyWertu	12
28	SingedBread	12
28	stavgod	12
36	xxPipperDipperxx	11
37	k_ce	9
37	Akoot_	9
37	Manaateee	9
37	Racengan	9
37	UCP_TheKingK	9
37	HesDemonPants	9
43	pintsizedrogue	8
43	SmashingPump	8
43	q_wq	8
43	yheece	8
43	HolyVenom	8
43	Rasmanden	8
43	masskedman	8
43	AssFullaCum	8
43	Winston_Ingram	8
43	Steelynan	8
43	Enderxz3	8
43	TechnoNinja64	8
43	PlasticOtari	8
56	Groovy_MoonBird	6
56	joethahobo	6
58	Alpitrix	5
58	Di_infiri	5
58	audiocracked	5
58	Spacewardharpy7	5
58	alderban107	5
58	Ezekson	5
64	Sleek_Storm_721	4
64	bigstankyy	4
64	TooManyDuck	4
64	Historical_Sand	4
64	FirsTimeGamingTV	4
64	Vizzoid	4
64	kekhon	4
64	Secret_Canary	4
64	excelsionprime	4
64	ROY4LE	4
64	Zaridey	4
64	thewindmillman	4
64	Snowflowe	4
64	LilyNova	4
64	Bumpy419	4
64	Rebytre	4
64	Onennon	4
64	Russiancat1	4
64	handsome_strong	4
64	censorsheep	4
64	fluddd	4
64	lordpipe	4
64	sp00ky_ghost977	4
64	YungMaki	4
64	lcvezra	4
64	_i_ERROR_i_	4
64	ProbsNotNova	4
64	EcksD	4
92	Fullut	3
92	Skippeh	3
94	PhantomsGhost_	2
94	Antek_Kicek	2
94	Maenara	2
94	Xclax101	2
94	Kyrum2169	2
94	Soplight	2
100	Apollo_993	1
100	Merv__	1
100	ECstardust	1
100	Frozil20	1
100	XboxPanda	1
100	moist_jellyfish	1
100	AlexxO_o	1
100	SaintJosie	1
100	duqboy	1
100	TheOuterCore	1
100	MirielThePastor	1
