rank	username	minecraft:used/minecraft:cherry_leaves
1	11Brewer	8772
2	Apollo_993	6337
3	LuvLuvLove	3711
4	EveryonesUncle	3564
5	Enderxz3	3069
6	Lez_	2946
7	XxCookiequeenxX	2398
8	KarlKaek	2344
9	Dynamic_wolf_1	1589
10	Pumpkin_P_Patch	1474
11	Merv__	777
12	Alteriity	715
13	TheWickedBird	546
14	Lazy_geniusig	543
15	Myntsys	528
16	robonya_	445
17	oscminus	439
18	Kowcio_	407
19	Mr_Sun15	400
20	bl1ss0	352
21	Tersea_	305
22	j5ylim	286
23	_Huge_Male_	234
24	Mattesco	224
25	pintsizedrogue	206
26	Archsam	201
27	StarCookiees_	177
28	PazinGaming	161
29	SpacesickPrism	138
30	Juansinmiedo18	119
31	k_ce	111
32	Buuck_	100
33	Reneedium	97
34	12Magner05	93
35	_witch_craft_	87
36	luseis	80
37	Hyp3rion_	69
38	Napoleonpancake	62
39	Steelynan	55
40	lorywithay	53
41	RatatJuice	44
42	TheSecondLord	33
43	HUNTERmaun	29
44	Legendosh	26
45	Moss_2006	20
46	Samificator	19
46	Cache3	19
48	cuddlyMonster	16
49	Mr_Byzantine	12
49	Moofyman	12
51	mymayowasgone	8
51	00000000-0000-0000-0009-01f3e0064b49	8
53	MattieHD	7
54	Jackattack53	6
54	U_Mos_	6
54	Werbe	6
57	skroobiez	5
58	Synthoum	4
59	powercas_gamer	3
59	milltesco	3
59	Krowuss	3
59	Soplight	3
59	MisfitsMike	3
64	Fullut	2
64	OreTheBear	2
64	pixelviolin	2
67	Nucket	1
67	royal_2	1
67	Hoid_the_Roamer	1
67	NATE_the_HALO	1
