rank	username	minecraft:used/minecraft:dark_oak_trapdoor
1	HellsSponge	8740
2	Mahoose	4284
3	Spacewardharpy7	3840
4	luseis	2306
5	MustaLoordi	1713
6	Zythose	1633
7	Hiryu27	1436
8	beeperbeeper5	1404
9	MyNameIsJobo	1257
10	Ezekson	1255
11	PlasticOtari	1184
12	Smoke____	1173
13	Hoid_the_Roamer	1091
14	_TCARREIRA_	1046
15	EveryonesUncle	1045
16	Hisiste	1032
17	pintsizedrogue	993
18	joethahobo	984
19	500am	973
20	djancak	934
21	Mattesco	884
22	Jackattack53	853
23	__tomato	807
24	H72l9w	800
25	TheSecondLord	779
26	kekhon	765
27	CollinMH06	759
28	TheShyPig	714
29	selectrix	652
30	xolstoi	612
31	IamCL4SSY	605
31	Kowcio_	605
33	Racengan	598
34	FishyBoy3811	584
35	Historical_Sand	563
36	NieToksikpl	557
37	legal_tax_evader	554
38	anbbang	532
39	thescout7	524
39	lcvezra	524
41	r123moore	514
42	burbankbuilder28	500
43	m_be9	497
44	Onennon	426
45	rarrq	420
46	Merv__	390
47	livingdaydreams	388
48	SvenskaHugo	387
49	Fullut	381
50	XboxPanda	370
51	Shogunite	365
52	ReSynced	364
53	emrekn	356
54	Legendosh	351
55	FreakGenius	344
56	Lez_	339
57	Eraxa	333
58	Warlord324	328
58	jnp_gaming	328
60	eitanzaki	312
60	Snowflowe	312
62	Jakobo1337	300
63	RoofTyler	293
64	weabis	292
65	thewindmillman	290
66	peach0s	289
67	fkGrim	257
68	Xalithia	255
68	fffMike	255
70	Soplight	240
71	Winklepicker279	239
72	noam464	237
73	Enderxz3	228
74	6king6colt6	225
75	Cowison	223
76	EMC_	221
77	ImpavidArcher	214
78	CalebDHawk	212
79	Inchef	205
80	Kakolbus	201
81	Di_infiri	197
82	Skippeh	196
83	set67	175
84	Werbe	174
85	bigstankyy	170
86	H0UNDFRMH3LL	163
87	YungMaki	161
88	Biites	159
89	Maenara	157
90	KarlKaek	156
91	bearlystraight	154
92	Mr_Byzantine	152
92	NameGenerat0r	152
92	Jij0	152
95	carpet4_69	151
95	Kura2218	151
97	teslawolf38	150
98	MattieHD	149
99	Smashic	145
100	T045RTY	144
101	Frozil20	142
102	CattSoup	139
103	ConnorDanky_	135
104	Rebytre	131
105	Esme_1	127
105	PortlyPete69	127
107	Kyrum2169	126
108	gcaisawesome	124
109	Russiancat1	116
110	Elastiq	115
110	smogfrog	115
112	AngalexikCZ	111
113	groofles	108
114	Skylord_Luke	106
114	Akoot_	106
116	Dusk_95	101
117	Xclax101	98
118	cheerytomato	97
118	Stiar	97
120	benediktine1	92
120	lillips	92
120	Meatlaugh	92
123	RatatJuice	91
123	Inbefour	91
123	Blu3beast	91
123	xzvu	91
127	monky_irl	90
128	xxPipperDipperxx	89
129	Alteriity	86
129	Natty	86
129	CACTUSLAD	86
132	XxCookiequeenxX	83
133	jacxhadow	82
134	Karetoko	81
135	drunkeeez	80
136	Deathkob	79
137	Hyugo	77
137	LeauVox4921	77
139	himak1	75
140	Ssor69	74
141	_Huge_Male_	73
142	SDMNAEK	71
142	TheDankPlatypus	71
142	SuperPooch06	71
142	Hyp3rion_	71
146	iSammael	70
147	Touched_Bread	69
147	GlitchyPlate810	69
149	Rumpletaezer	68
150	ProfessorBee	66
151	Huwulling	65
151	Chromary	65
153	Eraza	64
153	yulgur1	64
155	Blackberry1310	63
156	Prismyst	62
157	MineMaster0012	61
158	NomadicRobin_	58
158	MightyWertu	58
160	Kynigito	57
160	Barlycorn	57
160	Optiprimus	57
163	dezxalo	54
164	KeruNatsema	53
165	Ailmast	52
166	AlphaWolfPlaysMC	51
167	TechnoNinja64	49
168	binman420	48
168	audiocracked	48
168	tsitrawhy	48
171	UCP_TheKingK	47
171	EcksD	47
173	Groovy_MoonBird	46
173	RobotMinion101	46
175	Hermanni__	45
176	FirsTimeGamingTV	43
176	Awyrlas	43
178	MinttyFressh	42
178	The_slideV3	42
178	pixelviolin	42
181	M_Patata	39
181	Conrad139	39
183	hollowww	38
183	Motsaro	38
183	DarkS0L	38
186	Blaiku	37
187	Cryptacity	36
187	Nycteus_	36
187	Sheldor097	36
190	youhjjhhhjj	35
190	titanlax	35
190	eviltunix	35
190	Armattillo	35
194	Pofen	34
195	Jovaphobic	33
195	paranoid_plant	33
195	Sral7	33
198	Bandito_Roamer	31
199	Ryker	30
199	dartwaffle	30
201	nocturne78	29
201	Yirtle	29
201	DTwenty	29
204	Incinere	28
204	ImDisconnected_	28
206	GravitySaint	26
207	I_Am_Mushkin	25
207	ShedJr_	25
209	Euclidoris	24
209	BobDeBouwer1337	24
209	1442	24
212	CharlieButt	23
213	Ozixar	22
213	PegLegPete93	22
213	SellyZ	22
216	SaucyDark	21
216	AnnieBathory	21
216	El_Jalapeno	21
219	jushykins	20
219	Jeteight	20
219	Smussa	20
219	Jimi7hits	20
223	Tobinator_007	19
223	SmashingPump	19
223	Zlatovlas	19
223	Groundler	19
223	Chayula	19
228	k_ce	18
228	KlausVonStiglitz	18
228	fluddd	18
231	RebelAndroid	17
231	Megarboh	17
231	Lord_Jord	17
234	EtherealEspresso	16
234	2bolx_	16
236	diamondgolem35	15
236	fade_emerge78823	15
236	stickymonkeyboy	15
236	Felenov	15
236	thgrocks	15
236	MyNameIsDakar	15
236	lordpipe	15
243	dopplexd	14
243	ApophisNova	14
243	sp00ky_ghost977	14
243	SirBreadward	14
243	MyNamaSheff	14
248	LittleBug562	13
248	Nicky_H225	13
248	wirelesstree	13
248	SingedBread	13
248	Ze_BaronKrigler	13
248	calamariclam_I	13
254	Myszoaz	12
254	Mookle96	12
254	olliebollie48	12
254	prizm_	12
254	Ecplosive	12
254	gabriels543	12
254	theofiel	12
254	Drewen24	12
254	jcool7	12
254	KingMatthew506	12
264	Crowman1	11
264	ThePoliteG	11
264	mwrty	11
264	seramalen	11
264	MinerDec	11
264	FishisTTV	11
270	jessewegottacook	10
270	purpolepickle	10
270	mariominejedi	10
270	JasmineGK	10
274	heckface	9
274	_Dean_123	9
274	Tyrannosplart	9
274	Pickel_Lord	9
274	ayamefag	9
274	Dreamdbr14	9
274	diggydog67	9
281	Killercatty78	8
281	_HoneySlime_	8
281	IforgotCS_Source	8
281	Paintz	8
281	Waffleman258	8
281	Quaintster	8
281	BlankityMcBlank	8
281	SammiWolfGirl	8
281	Deguns123	8
290	SpaceGrenadier	7
290	SteveCraftBlocks	7
290	The_Fulgurator	7
290	Truckoss	7
290	LilLizardWizard	7
290	SkateboardR6	7
290	MakeHistory157	7
290	ZoomieZoomie	7
290	mobunni	7
299	FazeObama69	6
299	ProbablyNick	6
