rank	username	minecraft:used/minecraft:shulker_box
1	joethahobo	19363
2	noam464	17902
3	thewindmillman	12671
4	Hyp3rion_	7307
5	HellsSponge	6370
6	Di_infiri	5391
7	Spacewardharpy7	5102
8	Smoke____	5083
9	thescout7	4449
10	Freak_Genius	4427
11	Frozil12	4360
12	YungMaki	4129
13	PigDab	4117
14	lordpipe	3869
15	eitanzaki	3828
16	gcaisawesome	3646
17	EMC_	3089
18	Blaiku	2935
19	Ezekson	2841
20	EcksD	2719
21	beeperbeeper5	2576
22	500am	2137
23	Mewar	2070
24	Skippeh	2014
25	Racengan	2001
26	Marbz_	1627
27	Hisiste	1376
28	oxfordschool	1351
29	Enderslayerxz3	1275
30	Blackberry1310	1270
31	Lord_Jord	1232
32	TheSecondLord	1231
33	Hermanni__	1177
34	kekhon	1152
35	Arceus1975	1111
36	Mahoose	1102
37	PhantomsGhost_	1069
38	Groundler	1044
39	Bumpy419	1018
40	MightyWertu	1015
41	Spenduh	892
42	Jackattack53	881
43	Lutres_Torane	863
44	NomadicRobin_	841
45	mwrty	837
46	TheShyPig	833
47	Rebytre	831
48	ApophisNova	822
48	MyNamaSheff	822
50	Sral7	817
51	Quotary	809
52	Segotep999	751
53	awesomeoneme	744
54	MilleGrug	737
55	Awyrlas	725
56	MakeHistory157	679
57	Soplight	668
58	KG1999	667
59	Xclax101	660
60	Blu3beast	653
61	pintsizedrogue	641
62	fw3xywashere	626
63	Historical_Sand	625
64	MinttyFressh	612
65	XboxPanda	596
66	Jiminie	592
67	SvenskaHugo	580
68	Akoot_	551
69	error10101	546
70	fred870d	545
71	Werbe	544
72	Xalithia	534
73	RebelAndroid	533
74	Steelynan	523
75	WyngGoy	511
76	AuroraValkyrie	502
76	lillips	502
78	set67	499
79	kinas45y5	485
80	Legendosh	472
81	MyNameIsJobo	463
82	T045RTY	462
82	fffMike	462
84	Skylord_Luke	454
85	himak1	449
86	Kakolbus	448
87	Miko_Fullbuster	445
88	rarrq	419
88	gabriels543	419
88	Hoid_the_Roamer	419
91	HolyVenom	415
92	12Magner05	405
93	yulgur1	400
94	MattieHD	395
95	M_Patata	393
96	ImpavidArcher	391
96	Chromary	391
98	Jimi7hits	390
99	ROY4LE	388
99	Eraxa	388
101	Rumpletaezer	385
102	Fullut	372
102	loveseeker	372
104	Kowcio_	360
105	_NieToksikpl_	359
106	fkGrim	356
107	Inchef	352
108	lcvezra	350
109	The11thDoctor	340
109	Steven1282598	340
111	bigstankyy	339
112	MasterNueve	338
113	jnp_gaming	334
114	obzii	324
115	CalebDHawk	321
116	Comma__	320
117	sp00ky_ghost977	318
118	NameGenerat0r	316
119	pixelviolin	310
