rank	username	minecraft:used/minecraft:music_disc_far
1	lcvezra	42
2	jessewegottacook	21
3	pintsizedrogue	17
4	Kura2218	16
5	Inchef	13
5	RobotMinion101	13
7	_Dean_123	12
7	Soplight	12
9	Maenara	10
10	Skylord_Luke	8
11	12Magner05	7
11	layabout100	7
13	Blackberry1310	6
13	Zythose	6
13	fluddd	6
13	PlasticOtari	6
17	Mr_Byzantine	5
17	beeperbeeper5	5
17	heckface	5
17	oscminus	5
17	Akoot_	5
17	claivin	5
17	Eraxa	5
17	TheBananaKat	5
17	Ezekson	5
17	TechnoNinja64	5
17	skrongus	5
17	Zoeyfortnite	5
29	Merv__	4
29	joethahobo	4
29	TheSecondLord	4
29	Guillemet	4
29	SteveCraftBlocks	4
29	Cambo5000	4
29	Arceus1975	4
29	Werbe	4
29	Njensen7	4
38	Healthing	3
38	eitanzaki	3
38	Barjas	3
38	excelsionprime	3
38	switchNat	3
38	ROY4LE	3
38	Rebytre	3
38	Quaintster	3
38	SingedBread	3
38	Spenduh	3
38	SammiWolfGirl	3
38	FishisTTV	3
50	k_ce	2
50	Apollo_993	2
50	PazinGaming	2
50	ImpavidArcher	2
50	Mercadies	2
50	kekhon	2
50	ProfessorBee	2
50	Kkanot	2
50	mwrty	2
50	Hyp3rion_	2
50	seramalen	2
50	Onennon	2
50	monky_irl	2
50	Kowcio_	2
50	ediballbearings	2
50	CalebDHawk	2
50	_3Stump_	2
50	alderban107	2
50	Nicserso	2
50	jnp_gaming	2
50	2blox_	2
71	CLG_Kata	1
71	PhantomsGhost_	1
71	MixerDixer	1
71	TildaAndrea	1
71	I_Am_Mushkin	1
71	Ryan_GEMS	1
71	hm947	1
71	Incinere	1
71	jimintyy	1
71	Natty	1
71	Mahoose	1
71	H72l9w	1
71	Dblikstad	1
71	FirsTimeGamingTV	1
71	Euclidoris	1
71	Ozixar	1
71	Prodiginus	1
71	prelutrinae	1
71	Crowman1	1
71	ratglock	1
71	Cryptacity	1
71	Comma__	1
71	jushykins	1
71	m_be9	1
71	Tiberonus	1
71	Lumien_	1
71	Fullut	1
71	Smashic	1
71	crying_wolf_13	1
71	thescout7	1
71	ketaminmann	1
71	xxPipperDipperxx	1
71	noam464	1
71	TheDankPlatypus	1
71	prizm_	1
71	Jackattack53	1
71	SuperPooch06	1
71	Rumpletaezer	1
71	hanaryheatwave	1
71	thewindmillman	1
71	Parcc	1
71	BronkerBrum	1
71	Bak3dPotater	1
71	The_Cruncy	1
71	MinerDec	1
71	epiksk8erduck	1
71	sammidk	1
71	thgrocks	1
71	wezzzi	1
71	AlphaWolfPlaysMC	1
71	NomadicRobin_	1
71	duqboy	1
71	DTwenty	1
71	ese_wn_po	1
71	Deodorante	1
71	godipose	1
71	Karbl	1
71	MAns_44	1
71	Leeeegend	1
71	Blu3beast	1
71	Blaiku	1
71	Razzgriz	1
71	yatsuta	1
71	YungMaki	1
71	Segotep999	1
71	xzvu	1
71	Dreamdbr14	1
71	_Wannabe_	1
71	Hermanni__	1
71	_KuruKuru	1
71	ConnorDanky_	1
71	Quotary	1
71	Enderxz3	1
71	Jimb0nat0r	1
71	Faart	1
