rank	username	minecraft:used/minecraft:polished_deepslate_slab
1	Jackattack53	3819
2	EMC_	3767
3	Winklepicker279	3760
4	500am	3150
5	mihimihimihi	2038
6	titanlax	1959
7	Touched_Bread	1451
8	TheWildMateo	1402
9	Hyp3rion_	671
9	UCP_TheKingK	671
11	Mattesco	643
12	Fuad_R	550
13	Spacewardharpy7	492
14	ImpavidArcher	450
15	RebelAndroid	405
16	Marbz_	349
17	fade_emerge78823	327
18	PlasticOtari	292
19	TheSecondLord	289
20	pintsizedrogue	287
21	groofles	280
22	Inchef	270
23	thewindmillman	215
23	fffMike	215
25	StinkyDiplomat	183
26	weabis	165
27	non089	160
28	Lez_	134
29	luseis	131
30	Deathkob	89
31	Hermanni__	62
32	lizardfightclub	47
33	Steelynan	44
34	EcksD	39
35	mobunni	36
36	Ryker	35
37	Legendosh	34
38	prizm_	33
39	fluddd	30
40	00000000-0000-0000-0009-01f073f37a91	29
41	Lord_Jord	27
42	RoskobiOne	25
43	Smashic	17
44	hm947	16
45	Mahoose	15
45	Da_Boss_Rani	15
47	Jeteight	12
47	PigDab	12
49	RatatJuice	11
49	BiggieDawg	11
51	Sleepy_Time_	10
52	The_Fulgurator	9
53	Merv__	7
53	Alteriity	7
55	pixelviolin	6
56	Gryglu583	3
57	beeperbeeper5	2
58	shrimp_flips	1
58	RealGroot	1
58	gusstationwerker	1
