rank	username	minecraft:used/minecraft:muddy_mangrove_roots
1	Manaateee	86
2	luseis	63
3	skroobiez	57
4	k_ce	54
5	Pumpkin_P_Patch	44
6	pintsizedrogue	43
7	MattieHD	36
8	Enderxz3	23
9	Mr_Byzantine	12
10	j5ylim	5
10	Hyp3rion_	5
10	Galactic_Badger	5
10	EveryonesUncle	5
14	Jackattack53	4
15	Di_infiri	2
15	mihimihimihi	2
15	ItsDeltaMC	2
15	Jimb0nat0r	2
19	DinoDoctor_	1
19	rarrq	1
19	Blackberry1310	1
19	12Magner05	1
19	TheDankPlatypus	1
19	U_Mos_	1
19	XxCookiequeenxX	1
19	Thunder_bird4337	1
19	Yamdalorian	1
