rank	username	minecraft:used/minecraft:cherry_sign
1	Lez_	146
2	skitzxo	105
3	pretty_pink_reno	59
4	OreTheBear	46
5	pintsizedrogue	36
6	Mattesco	33
7	Jimb0nat0r	17
8	Kowcio_	16
9	luseis	14
10	bl1ss0	13
11	StarCookiees_	12
12	Archsam	10
12	Tersea_	10
14	Alteriity	6
14	fragrantmonke444	6
14	lordpipe	6
17	Moofyman	5
17	TheWickedBird	5
19	Frigzy_	4
19	Napoleonpancake	4
19	beeperbeeper5	4
19	oscminus	4
19	Synthoum	4
19	KamFurnace	4
25	Mr_Byzantine	3
25	Werbe	3
25	Legendosh	3
28	myaccountwasgone	2
29	Merv__	1
29	ECstardust	1
29	Huwulling	1
29	Sleepy_Evelyn	1
29	TheSecondLord	1
29	SteveCraftBlocks	1
29	emreknugrlu	1
29	Buuck_	1
29	Pumpkin_P_Patch	1
