rank	username	minecraft:used/minecraft:white_stained_glass_pane
1	beeperbeeper5	7078
2	noam464	3874
3	joethahobo	3651
4	Groundler	3579
5	Mahoose	3438
6	Spacewardharpy7	2054
7	Ezekson	1924
8	rarrq	1714
9	pintsizedrogue	1552
10	Blackberry1310	1467
11	_Karmaa	1410
12	Freak_Genius	1278
13	burbankbuilder28	1182
14	Blaiku	1171
15	lordpipe	1083
16	Smoke____	996
17	kekhon	948
18	Di_infiri	930
19	El_Jalapeno	884
20	EcksDofficial	804
21	r123moore	800
22	eitanzaki	746
23	teslawolf38	712
24	Hyp3rion_	675
25	jnp_gaming	658
26	Motsaro	636
27	Snowflowe	566
28	Inchef	555
29	EMC_	543
30	CoffeeNoir	540
31	Merv__	538
32	_Virify_	536
33	TheSecondLord	522
34	Cocoamallows	513
35	Eraxa	509
36	Yatitay	505
37	HellsSponge	413
38	YungMaki	397
39	ImpavidArcher	392
40	XboxPanda	381
41	Lord_Jord	379
42	jimintyy	358
43	mwrty	347
44	Xalithia	331
45	TheShyPig	313
46	RobotMinion101	303
47	xxPipperDipperxx	268
48	Arceus1975	265
49	sebastiensaborio	262
50	Winston_Ingram	261
51	_stets	251
52	stahouo	234
53	Akoot_	232
54	titanlax	228
55	Babushka0430	225
56	ShedJr_	224
57	Rumpletaezer	223
58	Legendosh	220
59	NinjaKnifeKill	219
60	Parcc	218
61	xX_Stalin69_Xx	215
62	obzii	213
63	LexMakesHistory	198
64	Sky_light_KING	184
64	Dusk_95	184
66	500am	165
67	Werbe	155
68	Skippeh	148
69	Shogunite	143
69	RadarHz	143
71	Natty	140
72	NameGenerat0r	131
73	Myszoaz	124
74	Blu3beast	122
75	Tommhh	116
76	KartivGal	113
77	NoxxxxiS	111
78	MyNameIsDakar	109
79	SSytex_X	107
80	Skylord_Luke	106
80	MakeHistory157	106
82	lcvezra	97
83	GoofyBread	93
84	Inbefour	92
84	Quotary	92
86	Chromary	90
86	2blox	90
88	m_be9	85
89	Ch4osDoom64	79
90	Ailmast	78
91	Swexti	76
92	Frozil12	64
92	UrbanPlanner1978	64
94	Septemb3r	63
94	AltnumberF4	63
96	Mewar	62
96	thgrocks	62
98	Winklepicker279	61
99	jcool7	60
100	ApophisNova	58
100	MyNamaSheff	58
102	Deathkob	57
102	Kowcio_	57
104	Jackster03	56
104	ChillenChiggen	56
106	Marbz_	55
107	Ardennes	54
107	Sloths_Ender	54
107	gabriels543	54
107	yaboo88	54
111	AuroraValkyrie	50
111	cedric72	50
113	Jiminie	48
114	Onennon	44
114	geekbird	44
116	HollieDaNugget	42
117	Waffleman258	39
118	cog	36
118	__tomato	36
120	cowgirlkasia	35
121	set67	33
121	thescout7	33
121	EcksD	33
124	Enigma0251	32
124	bloomkieren	32
126	fr0stss	26
126	Hoid_the_Roamer	26
126	SexcMf	26
129	Tjhodskins19	25
129	Hiryu27	25
131	Soplight	24
132	_naturell	23
133	Notta	22
133	Decaying_Lotus	22
135	TechnoNinja64	21
136	funeralhome	20
136	diamondgolem35	20
136	SquadMonster	20
136	Enderslayerxz3	20
140	T045RTY	19
140	Hermanni__	19
142	Zlatovlas	18
142	Eerini	18
144	Iagoku	17
145	numbra	16
145	Optiprimus	16
147	Stynxy	14
147	ProfessorBee	14
147	TheTommyGun63	14
150	KnightmareD	13
151	orxngejuice	11
151	_ritter	11
151	Kyrum2169	11
154	Smiguli_	10
154	OnlyOfficial	10
156	LilLizardWizard	9
156	Leyna3	9
158	KarlKaek	8
158	PigDab	8
158	xorompole	8
158	oxfordschool	8
158	kinas45y5	8
163	emrekn	7
163	HAIRYCLOUD626	7
163	KG1999	7
163	BlankityMcBlank	7
167	ROY4LE	6
167	GlitchyPlate810	6
169	SaucyDark	5
169	NotMeanttoChange	5
171	Drlzyy	4
171	LotusProject	4
171	H_Biscuit	4
174	nocturne78	3
175	Incinere	2
175	RebelAndroid	2
175	peach0s	2
175	Fullut	2
175	Kkanot	2
175	NomadicRobin_	2
175	Racengan	2
175	jaimshae	2
175	SammiWolfGirl	2
175	CalebDHawk	2
185	_NieToksikpl_	1
185	dabloons	1
185	Tolhart	1
185	IWorkAtIkea	1
185	MangoTheFish	1
185	thechoosenone69	1
185	MightyWertu	1
185	MilleGrug	1
185	HesDemonPants	1
