rank	username	minecraft:used/minecraft:jungle_planks
1	joethahobo	167808
2	AlexxO_o	10301
3	Enderxz3	10095
4	yheece	6424
5	EveryonesUncle	5685
6	Drawgirl	3720
7	bigstankyy	3681
8	Airem_Core	3445
9	Prodiginus	2954
10	himak1	2589
11	thewindmillman	2453
12	Winklepicker279	2430
13	kekhon	2311
14	ConnorDanky_	2074
15	Huwulling	1864
16	cedric72	1621
17	eitanzaki	1604
18	Inbefour	1377
19	MixerDixer	1185
20	Factoroni	1143
21	El_Jalapeno	1005
22	MineMaster0012	922
23	Xalithia	886
24	Kowcio_	842
25	BronkerBrum	810
26	PigDab	805
27	fluddd	793
28	Windo_licker	735
29	AdmiralSmoke	721
30	zemey	697
31	Onennon	679
32	ShedJr_	655
33	skrongus	617
34	SvenskaHugo	584
35	CoffeeNoir	564
36	Mr_Byzantine	545
37	Quaintster	507
38	Blu3beast	462
39	Toiton	443
40	Lekol	442
41	Dabatha	435
42	Merv__	432
43	Blackberry1310	421
44	WhyTho_1	411
45	thescout7	402
46	titanlax	396
46	Hermanni__	396
48	Aangezet	386
48	_Karmaa	386
50	pintsizedrogue	382
51	xxPipperDipperxx	369
52	Kamflame10	364
53	ROY4LE	360
54	SpacesickPrism	321
55	OffWithTheirHead	274
56	Bazongoman	272
57	YungMaki	265
58	ItsDeltaMC	251
59	Groovy_MoonBird	247
59	Hyp3rion_	247
61	soundad	238
62	00000000-0000-0000-0009-01f9013b764e	214
63	jessemgaming	206
64	HellsSponge	199
65	Apollo_993	198
65	Kubelz	198
65	Akoot_	198
68	H72l9w	197
69	ooga47	196
70	CryoInferno_	193
71	Steelynan	189
72	Soplight	177
73	noodlepack	174
74	FreakGenius	172
75	beeperbeeper5	168
76	AuroraValkyrie	157
76	LilLizardWizard	157
78	PlasticOtari	156
79	12Magner05	146
80	Kferno	144
81	benediktine1	143
82	Lez_	141
83	Werbe	137
84	IWorkAtIkea	135
85	T045RTY	134
86	Groundler	130
87	tsitrawhy	126
88	Zaridey	125
89	Lord_Jord	119
90	Cocoamallows	115
91	PegLegPete93	114
92	Hpdinosaur	113
93	OfficerAnvil	108
94	KingMatthew506	98
95	MyNameIsJobo	95
95	TheShyPig	95
97	luseis	94
98	catandmoose	93
99	33sudo	91
100	Nicserso	88
101	TAKrules	87
102	LargeCarl	84
103	Stiar	83
103	SvenskaAlvar	83
105	MovingFish7	82
106	CarryLine	80
107	the_fireminer	76
108	breadbowlgamer	75
109	Deathkob	71
109	ItsJunoIGuess	71
111	MOSS000	66
112	EMC_	64
112	LeonelSalamanca	64
114	UCP_TheKingK	63
115	Inchef	61
115	lordpipe	61
117	fkGrim	60
118	QuiCreans	59
118	mwrty	59
118	JESS_THE_RERE	59
121	natajimi	55
122	Tyrannosplart	53
123	jnp_gaming	52
124	lunathelemon	51
124	Rahikeru	51
126	_Huge_Male_	50
126	olliebollie48	50
128	Incinere	47
129	Comma__	46
129	TableTim	46
131	chrolus	45
131	WyngGoy	45
133	Mahoose	44
133	_TCARREIRA_	44
135	capn__crunch	43
136	rarrq	41
136	1442	41
138	Swexti	39
138	Fullut	39
138	MightyWertu	39
141	ese_wn_po	38
142	Alteriity	36
142	Chayula	36
144	Rebytre	34
145	500am	32
146	THEKINGLyric10	31
146	Zoeyfortnite	31
148	Njensen7	30
149	CattSoup	29
150	Frozil20	28
151	SaucyDark	27
151	DAD_1996	27
151	Blaiku	27
154	Racengan	26
155	moderncraft	25
155	Toriankel	25
155	TechnoNinja64	25
158	4774	24
158	AMOTOS_LASODEMIA	24
158	Jonte0599	24
158	IdeallyGrey	24
162	Manaateee	22
162	RadarHz	22
164	jcool7	21
165	Maenara	20
165	SammiWolfGirl	20
167	Reamdin	19
168	KarlKaek	18
168	Awyrlas	18
168	Jij0	18
171	iSammael	17
172	SteveCraftBlocks	16
172	TylerDupree	16
172	Hoid_the_Roamer	16
175	TheSecondLord	15
175	ToxicHauntling	15
177	DarlaMeow	14
178	NameGenerat0r	13
179	JohnnyMines	12
179	drunkeeez	12
179	The_slideV3	12
179	Kukkelikuk	12
183	superfred2010	11
183	ApophisNova	11
183	MyNamaSheff	11
186	Azorathum	10
186	splatterhawk	10
188	r123moore	9
188	legal_tax_evader	9
188	Bumpy419	9
188	parodypatient	9
188	Fuad_R	9
193	hanaryheatwave	8
193	RefluxRatio	8
193	RobotMinion101	8
193	XxCookiequeenxX	8
197	Yeltzin	7
197	ImpavidArcher	7
197	Historical_Sand	7
197	Sheellky	7
197	Nycteus_	7
197	coobert42	7
203	H0UNDFRMH3LL	6
203	M_Patata	6
203	Kim_Jong_eel	6
203	lillips	6
203	MasterNueve	6
203	Optiprimus	6
203	Eraxa	6
203	EcksD	6
211	MLG_Kirby69	5
211	Dblikstad	5
211	Smashic	5
211	wateo	5
211	xzvu	5
211	PortlyPete69	5
217	hollowww	4
217	Jackattack53	4
217	HELLO_I_AM_BEAR	4
217	Dakar_	4
217	Warlord324	4
217	stellarjay	4
217	KASAN420	4
224	rats_life	3
224	IEatBooty	3
224	Notta	3
224	NotMeanttoChange	3
224	Zythose	3
224	sxc_	3
224	MakeHistory157	3
231	fanofbands101	2
231	TemoraScorpendra	2
231	ITDV	2
231	nocturne78	2
231	InfernalMound	2
231	ProfessorBee	2
231	Eraza	2
231	Di_infiri	2
231	StinkyDiplomat	2
231	MAns_44	2
231	07shiny	2
231	lcvezra	2
231	xolstoi	2
244	CLG_Kata	1
244	BPTY4618	1
244	Ryan_GEMS	1
244	TooManyDuck	1
244	Silenttieg	1
244	Natty	1
244	QuakerOatsGod	1
244	MattieHD	1
244	set67	1
244	lorpus	1
244	intropass	1
244	noam464	1
244	SeverianOfUrth	1
244	WET_WET_WET	1
244	Kynigito	1
244	Luminad3	1
244	masskedman	1
244	DemTechAlpha	1
244	weabis	1
244	Spacewardharpy7	1
244	CornOnTheCobalt	1
244	AssFullaCum	1
244	Spenduh	1
244	MissCeleste7	1
244	Quotary	1
244	Jimb0nat0r	1
244	Tristankill	1
244	WinterYoke	1
