rank	username	minecraft:used/minecraft:glow_lichen
1	luseis	1745
2	EMC_	1102
3	pintsizedrogue	761
4	PlasticOtari	698
5	Manaateee	527
6	Marbz_	522
7	SpacesickPrism	509
8	GooseWithin	386
9	Alteriity	380
10	Enderxz3	356
11	AdmiralSmoke	325
12	hanaryheatwave	273
13	noam464	268
14	MineMaster0012	239
15	beeperbeeper5	233
16	thewindmillman	202
17	Jimb0nat0r	192
18	Kowcio_	135
19	pixelviolin	126
20	mihimihimihi	113
21	500am	106
22	Steelynan	101
23	12Magner05	85
24	_Huge_Male_	78
25	Lutres_	73
26	Krowuss	67
27	Mahoose	61
28	jessewegottacook	57
29	xxPipperDipperxx	46
30	Prismyst	34
31	thebaddruid	33
31	Dakar_	33
33	0Vyp_	32
33	SammiWolfGirl	32
35	Ezekson	31
36	SuperPooch06	28
37	NomadicRobin_	26
38	Ryker	25
38	non089	25
40	Blackberry1310	24
41	joethahobo	22
42	WYFYoyo	21
43	Huwulling	19
43	calamariclam_I	19
45	_i_ERROR_i_	16
46	Apollo_993	15
46	orxngejuice	15
46	Hyp3rion_	15
46	Fuad_R	15
50	ECstardust	14
51	Mattesco	13
51	Akoot_	13
53	Kakolbus	12
53	Legendosh	12
55	JETrotter	10
56	SyntheticSurgeon	9
56	ShedJr_	9
56	_HoneySlime_	9
56	Inchef	9
56	Soplight	9
61	sp00ky_ghost977	8
62	H0UNDFRMH3LL	6
62	TerraVl	6
62	EtherealEspresso	6
62	CattSoup	6
66	KarlKaek	4
67	PazinGaming	3
67	RebelAndroid	3
67	zToasty69z	3
67	Vegvisir	3
67	iSammael	3
67	TheALV	3
73	ImpavidArcher	2
73	excelsionprime	2
73	eli_tschki	2
73	ApophisNova	2
73	bearlystraight	2
73	Elastiq	2
73	wwwwinnebagoooo	2
73	MyNamaSheff	2
81	CoffeeNoir	1
81	Smashic	1
81	shadowthemonkey	1
81	Toasty_Tom	1
81	Deathkob	1
81	Spacewardharpy7	1
81	lordpipe	1
