rank	username	minecraft:used/minecraft:light_gray_dye
1	pixelviolin	14
2	Hyp3rion_	12
3	pintsizedrogue	11
4	PlasticOtari	6
5	TheSecondLord	5
5	LeonelSalamanca	5
5	fluddd	5
8	ROY4LE	4
8	Jackattack53	4
8	Mattesco	4
8	Kowcio_	4
12	MAns_44	3
12	ConnorDanky_	3
14	Mr_Byzantine	2
14	MintyTuna	2
14	lunathelemon	2
14	Kakolbus	2
14	SvenskaAlvar	2
19	Myszoaz	1
19	jessewegottacook	1
19	Inchef	1
19	noam464	1
19	Arceus1975	1
19	KartivGal	1
19	Luminad3	1
19	parodypatient	1
19	EveryonesUncle	1
19	luseis	1
19	Quaintster	1
19	UCP_TheKingK	1
19	brofrickcheaters	1
19	SammiWolfGirl	1
