rank	username	minecraft:used/minecraft:smooth_basalt
1	pintsizedrogue	2465
2	noam464	1826
3	500am	1766
4	shineh10	1081
5	_Huge_Male_	1056
6	Hyp3rion_	1052
7	Enderxz3	987
8	hanaryheatwave	899
9	Hermanni__	850
10	AdmiralSmoke	768
11	PazinGaming	735
12	SpacesickPrism	691
13	Kowcio_	659
14	Hahaa_0	613
15	lunathelemon	555
16	ZoomieZoomie	545
17	TheSecondLord	507
18	Steelynan	504
19	k_ce	445
20	EMC_	436
21	PaperCanvas	351
22	PlasticOtari	342
23	ItsDeltaMC	329
24	mihimihimihi	279
25	Segotep999	254
26	ECstardust	251
27	Jimb0nat0r	236
28	UCP_TheKingK	232
29	Mahoose	227
30	Nicserso	226
31	YungMaki	209
32	CattSoup	208
33	EcksD	187
34	12Magner05	182
35	jessewegottacook	172
36	Elastiq	165
37	RatatJuice	157
38	thewindmillman	128
39	rarrq	113
40	nattybears	85
41	_i_ERROR_i_	73
42	Merv__	67
42	luseis	67
44	SvenskaHugo	61
45	Mattesco	56
46	SyntheticSurgeon	54
46	Huwulling	54
46	PigDab	54
49	ShedJr_	51
50	Manaateee	47
51	Kkanot	46
52	MilleGrug	43
53	Flores991	41
54	Marbz_	39
55	00000000-0000-0000-0009-01ff0c3e5e4f	38
56	Iamthejo	37
57	Samificator	35
57	EveryonesUncle	35
59	RebelAndroid	34
60	Inchef	29
61	dartwaffle	27
61	SammiWolfGirl	27
63	Apollo_993	26
64	Jimi7hits	25
65	Rebytre	20
65	xolstoi	20
67	corvidpartyfor6	18
67	Silvo614	18
69	Lutres_	16
69	IdeallyGrey	16
71	Frozil20	15
71	AlexxO_o	15
71	SingedBread	15
74	SmashingPump	14
75	shadowthemonkey	13
76	Alteriity	11
76	ITDV	11
76	pixelviolin	11
76	RadarHz	11
80	Mr_Byzantine	10
80	Xalithia	10
80	Krowuss	10
80	FormulaNewt3627	10
84	beeperbeeper5	9
84	Touched_Bread	9
84	lillips	9
87	BPTY4618	8
87	shrimp_flips	8
87	Human_Resource	8
90	_stets	7
90	Minimize501	7
90	groofles	7
90	Yahir091	7
90	Sheldor097	7
90	Weepingbiel	7
96	Groovy_MoonBird	6
96	Creativebuilder2	6
96	Winklepicker279	6
96	JETrotter	6
96	ApophisNova	6
96	TheBananaKat	6
96	MyNamaSheff	6
103	Ryker	5
103	TheOuterCore	5
105	MuffinManzz	4
105	diamondgolem35	4
105	Crowman1	4
105	xPixelRainx	4
105	MinttyFressh	4
105	Smashic	4
105	Jonafrog99	4
105	Avocadogerms	4
105	smogfrog	4
114	Kakolbus	3
114	UMosDiesIrae	3
114	DarkS0L	3
114	Legendosh	3
118	Prismyst	2
118	Da_Boss_Rani	2
118	QuiCreans	2
118	Pineapplesugr	2
118	SvenskaAlvar	2
118	zToasty69z	2
118	Dan_Scha	2
118	NomadicRobin_	2
118	Deathkob	2
118	MAns_44	2
118	wwwwinnebagoooo	2
118	Spacewardharpy7	2
118	FadedSpade82	2
118	Spenduh	2
118	alanbleachdemon	2
118	mobunni	2
118	Skippeh	2
118	Rexorout	2
136	CLG_Kata	1
136	Deu_Stew	1
136	CloroxBleach385	1
136	KarlKaek	1
136	itburb	1
136	T045RTY	1
136	CoffeeNoir	1
136	Myszoaz	1
136	MrKrabOnCoke	1
136	Valoth	1
136	Itz_DuongVN	1
136	_Boipl_	1
136	Moofyman	1
136	WeebleSock	1
136	iSammael	1
136	NiveauSubmarine	1
136	tsitrawhy	1
136	Eczbek	1
